Investigator,Ghislaine,,Time (s),Electrode,Amplitude(mV)
,,,9.97768,B4_12,0.013
,,,9.97944,B4_44,0.022
,,,9.97992,B4_42,0.02
,,,9.98008,B4_22,0.021
,,,9.98152,B4_43,0.016
,,,9.98464,B4_44,0.021
,,,9.9852,B4_42,0.042
,,,9.98776,B4_24,0.024
,,,9.98928,B4_22,0.046
,,,9.98992,B4_33,0.018
,,,9.99008,B4_42,0.029
,,,9.99168,B4_13,0.018
,,,9.99192,B4_22,0.016
,,,9.99296,B4_33,0.032
,,,9.99312,B4_24,0.025
,,,9.99344,B4_23,0.015
,,,9.99424,B4_13,0.014
,,,9.99488,B4_22,0.019
,,,9.99704,B4_43,0.088
,,,9.99704,B4_44,0.031
,,,9.99768,B4_33,0.016
,,,9.99768,B4_42,0.021
,,,10.00224,B4_43,0.026
,,,10.00264,B4_42,0.044
,,,10.00408,B4_44,0.016
,,,10.00472,B4_34,0.015
,,,10.00512,B4_13,0.022
,,,10.00536,B4_24,0.014
,,,10.00544,B4_42,0.021
,,,10.00696,B4_22,0.021
,,,10.00864,B4_43,0.026
,,,10.00936,B4_13,0.019
,,,10.00936,B4_44,0.02
,,,10.0108,B4_33,0.033
,,,10.01128,B4_22,0.023
,,,10.01128,B4_24,0.02
,,,10.01144,B4_42,0.021
,,,10.0116,B4_14,0.014
,,,10.0116,B4_32,0.069
,,,10.01312,B4_33,0.012
,,,10.0136,B4_34,0.024
,,,10.01456,B4_43,0.077
,,,10.01552,B4_24,0.03
,,,10.01632,B4_12,0.016
,,,10.01664,B4_23,0.017
,,,10.01704,B4_22,0.015
,,,10.01776,B5_13,0.015
,,,10.01808,B4_24,0.021
,,,10.01832,B4_43,0.018
,,,10.01848,B4_44,0.015
,,,10.01856,B5_21,0.017
,,,10.01968,B4_33,0.028
,,,10.02056,B4_24,0.03
,,,10.02064,B4_22,0.048
,,,10.02072,B4_34,0.017
,,,10.02128,B4_12,0.014
,,,10.02216,B4_14,0.011
,,,10.02328,B4_43,0.021
,,,10.02408,B4_34,0.019
