Investigator,Ghislaine,Time (s),Electrode,Amplitude(mV)
,,11.62616,B5_24,0.019
,,11.62624,B1_24,0.033
,,11.67976,B4_42,0.016
,,11.70048,B5_14,0.012
,,11.71296,B2_43,0.016
,,11.72656,B1_23,0.025
,,11.72904,B5_11,0.023
,,11.73544,B2_42,0.015
,,11.76608,B4_22,0.034
,,11.76864,B4_24,0.024
,,11.7688,B4_42,0.014
,,11.76896,B4_23,0.025
,,11.76912,B4_13,0.015
,,11.77768,B5_22,0.016
,,11.79544,B5_44,0.018
,,11.80008,B5_11,0.019
,,11.8008,B4_44,0.022
,,11.83272,B2_31,0.014
,,11.83384,B2_12,0.012
,,11.83528,B5_22,0.014
,,11.87544,B2_34,0.02
,,11.95264,B5_43,0.02
,,11.95616,B2_42,0.016
,,11.9668,B2_13,0.012
,,11.96776,B2_44,0.016
,,11.96904,B2_33,0.013
,,11.9696,B2_42,0.054
,,11.9928,B5_11,0.021
,,12.01208,B3_42,0.019
,,12.02768,B6_43,0.019
,,12.04168,B5_21,0.017
,,12.04256,B5_11,0.017
,,12.11304,B3_31,0.017
,,12.11864,B4_42,0.017
,,12.1248,B5_11,0.023
,,12.13336,B4_34,0.024
,,12.15584,B5_11,0.023
,,12.16024,B6_31,0.019
,,12.18216,B5_24,0.019
,,12.20392,B5_44,0.015
,,12.2336,B2_31,0.012
,,12.24336,B2_43,0.017
,,12.24808,B5_23,0.029
,,12.2712,B2_42,0.013
,,12.28344,B5_23,0.021
,,12.29184,B5_24,0.017
,,12.35848,B2_11,0.021
,,12.35888,B2_22,0.02
,,12.3592,B2_31,0.029
,,12.36792,B2_42,0.02
,,12.36904,B2_22,0.015
,,12.37088,B1_24,0.032
,,12.38536,B5_44,0.017
,,12.38816,B5_11,0.014
,,12.4104,B2_31,0.012
,,12.41648,B4_24,0.014
,,12.45448,B2_31,0.014
,,12.50344,B5_11,0.02
,,12.51672,B5_14,0.015
,,12.58952,B5_24,0.023
,,12.5944,B4_43,0.022
,,12.60704,B2_42,0.021
,,12.61592,B5_11,0.014
,,12.64344,B2_11,0.059
,,12.65856,B6_31,0.018
,,12.67656,B5_13,0.016
,,12.6772,B5_21,0.022
,,12.67808,B5_11,0.017
,,12.72912,B5_32,0.012
,,12.74776,B2_43,0.04
,,12.7484,B2_32,0.02
,,12.74904,B2_11,0.027
,,12.75104,B2_24,0.011
,,12.7512,B2_34,0.033
,,12.75536,B2_43,0.018
,,12.76128,B2_42,0.03
,,12.7616,B4_23,0.015
,,12.76224,B2_32,0.03
,,12.76328,B2_43,0.045
,,12.76432,B2_21,0.026
,,12.76672,B2_24,0.01
,,12.76712,B2_42,0.029
,,12.76872,B2_21,0.038
,,12.77072,B2_42,0.02
,,12.77224,B2_21,0.026
,,12.77288,B2_32,0.017
,,12.77296,B2_42,0.02
,,12.77384,B2_33,0.016
,,12.77408,B2_44,0.064
,,12.77424,B2_31,0.02
,,12.7748,B2_21,0.045
,,12.77552,B2_42,0.031
,,12.77608,B2_43,0.022
,,12.77656,B2_31,0.017
,,12.77744,B2_21,0.037
,,12.77952,B2_42,0.038
,,12.78144,B2_24,0.015
,,12.78192,B2_34,0.014
,,12.81024,B2_22,0.04
,,12.81344,B2_42,0.028
,,12.8184,B2_42,0.052
,,12.84816,B4_44,0.016
,,12.84856,B2_24,0.013
,,12.85584,B2_22,0.012
,,12.87304,B2_43,0.033
,,12.87336,B2_42,0.021
,,12.87424,B2_24,0.013
,,12.87824,B2_21,0.023
,,12.88208,B2_21,0.024
,,12.892,B2_42,0.05
,,12.89384,B5_14,0.015
