Investigator,,Time (s),Electrode,Amplitude(mV),,,,,,,,,,,,,,,,,,,,
,,23.82536,D5_33,0.03,,,,,,,,,,,,,,,,,,,,
,,23.826,D5_24,0.01,,,,,,,,,,,,,,,,,,,,
,,23.82656,D5_23,0.027,,,,,,,,,,,,,,,,,,,,
,,23.82896,D5_33,0.025,,,,,,,,,,,,,,,,,,,,
,,23.82968,D5_23,0.033,,,,,,,,,,,,,,,,,,,,
,,23.83112,D5_34,0.02,,,,,,,,,,,,,,,,,,,,
,,23.83144,D5_33,0.022,,,,,,,,,,,,,,,,,,,,
,,23.83232,D5_23,0.061,,,,,,,,,,,,,,,,,,,,
,,23.83456,D5_34,0.024,,,,,,,,,,,,,,,,,,,,
,,23.83504,D5_23,0.068,,,,,,,,,,,,,,,,,,,,
,,23.83616,D5_24,0.019,,,,,,,,,,,,,,,,,,,,
,,23.83728,D5_33,0.023,,,,,,,,,,,,,,,,,,,,
,,23.83848,D5_34,0.019,,,,,,,,,,,,,,,,,,,,
,,23.83928,D5_23,0.069,,,,,,,,,,,,,,,,,,,,
,,23.84152,D5_33,0.026,,,,,,,,,,,,,,,,,,,,
,,23.842,D5_23,0.031,,,,,,,,,,,,,,,,,,,,
,,23.84432,D5_23,0.028,,,,,,,,,,,,,,,,,,,,
,,23.84504,D5_33,0.032,,,,,,,,,,,,,,,,,,,,
,,23.84608,D5_34,0.025,,,,,,,,,,,,,,,,,,,,
,,23.84728,D5_23,0.086,,,,,,,,,,,,,,,,,,,,
,,23.84776,D5_33,0.03,,,,,,,,,,,,,,,,,,,,
,,23.84888,D5_34,0.031,,,,,,,,,,,,,,,,,,,,
,,23.8496,D5_23,0.029,,,,,,,,,,,,,,,,,,,,
,,23.85064,D5_33,0.025,,,,,,,,,,,,,,,,,,,,
,,23.85264,D5_34,0.019,,,,,,,,,,,,,,,,,,,,
,,23.85272,D5_23,0.022,,,,,,,,,,,,,,,,,,,,
,,23.85304,D5_33,0.023,,,,,,,,,,,,,,,,,,,,
,,23.85624,D5_23,0.046,,,,,,,,,,,,,,,,,,,,
,,23.85696,D5_33,0.033,,,,,,,,,,,,,,,,,,,,
,,23.85888,D5_34,0.024,,,,,,,,,,,,,,,,,,,,
,,23.85896,D5_23,0.041,,,,,,,,,,,,,,,,,,,,
,,23.8592,D5_33,0.034,,,,,,,,,,,,,,,,,,,,
,,23.85976,D5_24,0.017,,,,,,,,,,,,,,,,,,,,
,,23.86168,D5_23,0.018,,,,,,,,,,,,,,,,,,,,
,,23.86184,D5_33,0.028,,,,,,,,,,,,,,,,,,,,
,,23.86224,D5_34,0.024,,,,,,,,,,,,,,,,,,,,
,,23.86432,D5_33,0.033,,,,,,,,,,,,,,,,,,,,
,,23.86448,D5_23,0.055,,,,,,,,,,,,,,,,,,,,
,,23.8664,D5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,23.86688,D5_33,0.025,,,,,,,,,,,,,,,,,,,,
,,23.86704,D5_23,0.033,,,,,,,,,,,,,,,,,,,,
,,23.8692,D5_33,0.033,,,,,,,,,,,,,,,,,,,,
,,23.86936,D5_23,0.035,,,,,,,,,,,,,,,,,,,,
,,23.86976,D5_34,0.018,,,,,,,,,,,,,,,,,,,,
,,23.87216,D5_33,0.035,,,,,,,,,,,,,,,,,,,,
,,23.87232,D5_23,0.051,,,,,,,,,,,,,,,,,,,,
,,23.87304,D5_34,0.02,,,,,,,,,,,,,,,,,,,,
,,23.87392,D5_24,0.015,,,,,,,,,,,,,,,,,,,,
,,23.87496,D5_23,0.035,,,,,,,,,,,,,,,,,,,,
,,23.87504,D5_33,0.041,,,,,,,,,,,,,,,,,,,,
,,23.87728,D5_33,0.02,,,,,,,,,,,,,,,,,,,,
,,23.87784,D5_34,0.011,,,,,,,,,,,,,,,,,,,,
,,23.87856,D5_23,0.042,,,,,,,,,,,,,,,,,,,,
,,23.8812,D5_34,0.035,,,,,,,,,,,,,,,,,,,,
,,23.88136,D5_23,0.037,,,,,,,,,,,,,,,,,,,,
,,23.88152,D5_33,0.031,,,,,,,,,,,,,,,,,,,,
,,23.88416,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,23.88416,D5_33,0.029,,,,,,,,,,,,,,,,,,,,
,,23.8852,D5_34,0.024,,,,,,,,,,,,,,,,,,,,
,,23.88688,D5_33,0.015,,,,,,,,,,,,,,,,,,,,
,,23.8872,D5_23,0.084,,,,,,,,,,,,,,,,,,,,
,,23.88776,D5_34,0.018,,,,,,,,,,,,,,,,,,,,
,,23.88944,D5_33,0.028,,,,,,,,,,,,,,,,,,,,
,,23.88976,D5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,23.8924,D5_34,0.016,,,,,,,,,,,,,,,,,,,,
,,23.89264,D5_24,0.012,,,,,,,,,,,,,,,,,,,,
,,23.89288,D5_23,0.027,,,,,,,,,,,,,,,,,,,,
,,23.89328,D5_33,0.038,,,,,,,,,,,,,,,,,,,,
,,23.8948,D5_34,0.026,,,,,,,,,,,,,,,,,,,,
,,23.89552,D5_33,0.032,,,,,,,,,,,,,,,,,,,,
,,23.89584,D5_23,0.035,,,,,,,,,,,,,,,,,,,,
,,23.8976,D5_34,0.016,,,,,,,,,,,,,,,,,,,,
,,23.89904,D5_23,0.037,,,,,,,,,,,,,,,,,,,,
,,23.89968,D5_33,0.029,,,,,,,,,,,,,,,,,,,,
,,23.90008,D5_24,0.017,,,,,,,,,,,,,,,,,,,,
,,23.90016,D5_34,0.015,,,,,,,,,,,,,,,,,,,,
,,23.902,D5_23,0.042,,,,,,,,,,,,,,,,,,,,
,,23.90424,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,23.90448,D5_34,0.013,,,,,,,,,,,,,,,,,,,,
,,23.90704,D5_23,0.025,,,,,,,,,,,,,,,,,,,,
,,23.90936,D5_23,0.028,,,,,,,,,,,,,,,,,,,,
,,23.91056,D5_34,0.025,,,,,,,,,,,,,,,,,,,,
,,23.91184,D5_23,0.04,,,,,,,,,,,,,,,,,,,,
,,23.91392,D5_33,0.019,,,,,,,,,,,,,,,,,,,,
,,23.91408,D5_23,0.066,,,,,,,,,,,,,,,,,,,,
,,23.91712,D5_23,0.038,,,,,,,,,,,,,,,,,,,,
,,23.91968,D5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,23.91992,D5_34,0.027,,,,,,,,,,,,,,,,,,,,
,,23.92008,D5_33,0.026,,,,,,,,,,,,,,,,,,,,
,,23.92216,D5_34,0.02,,,,,,,,,,,,,,,,,,,,
,,23.92328,D5_23,0.024,,,,,,,,,,,,,,,,,,,,
,,23.92576,D5_23,0.022,,,,,,,,,,,,,,,,,,,,
,,23.92776,D5_33,0.013,,,,,,,,,,,,,,,,,,,,
,,23.9284,D5_23,0.023,,,,,,,,,,,,,,,,,,,,
,,23.92928,D5_34,0.021,,,,,,,,,,,,,,,,,,,,
,,23.93048,D5_33,0.017,,,,,,,,,,,,,,,,,,,,
,,23.9308,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,23.9332,D5_23,0.027,,,,,,,,,,,,,,,,,,,,
,,23.93328,D5_34,0.013,,,,,,,,,,,,,,,,,,,,
,,23.93552,D5_23,0.046,,,,,,,,,,,,,,,,,,,,
,,23.93864,D5_23,0.038,,,,,,,,,,,,,,,,,,,,
,,23.93992,D5_34,0.013,,,,,,,,,,,,,,,,,,,,
,,23.94064,D5_33,0.028,,,,,,,,,,,,,,,,,,,,
,,23.94336,D5_33,0.019,,,,,,,,,,,,,,,,,,,,
,,23.94368,D5_34,0.032,,,,,,,,,,,,,,,,,,,,
,,23.94392,D5_23,0.032,,,,,,,,,,,,,,,,,,,,
,,23.94616,D5_33,0.018,,,,,,,,,,,,,,,,,,,,
,,23.9468,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,23.94712,C5_42,0.024,,,,,,,,,,,,,,,,,,,,
,,23.94864,D5_33,0.018,,,,,,,,,,,,,,,,,,,,
,,23.94864,D5_34,0.013,,,,,,,,,,,,,,,,,,,,
,,23.94904,D5_23,0.013,,,,,,,,,,,,,,,,,,,,
,,23.95088,D5_33,0.021,,,,,,,,,,,,,,,,,,,,
,,23.95192,D5_23,0.016,,,,,,,,,,,,,,,,,,,,
,,23.95328,D5_34,0.02,,,,,,,,,,,,,,,,,,,,
,,23.95464,D5_33,0.019,,,,,,,,,,,,,,,,,,,,
,,23.95792,D5_23,0.028,,,,,,,,,,,,,,,,,,,,
,,23.958,D5_33,0.046,,,,,,,,,,,,,,,,,,,,
,,23.9588,D5_34,0.021,,,,,,,,,,,,,,,,,,,,
,,23.95936,D5_22,0.012,,,,,,,,,,,,,,,,,,,,
,,23.9608,D5_23,0.027,,,,,,,,,,,,,,,,,,,,
,,23.96216,D5_33,0.022,,,,,,,,,,,,,,,,,,,,
,,23.96896,D5_23,0.058,,,,,,,,,,,,,,,,,,,,
,,23.96896,D5_33,0.022,,,,,,,,,,,,,,,,,,,,
,,23.97136,D5_33,0.021,,,,,,,,,,,,,,,,,,,,
,,23.972,D5_34,0.035,,,,,,,,,,,,,,,,,,,,
,,23.97456,D5_34,0.011,,,,,,,,,,,,,,,,,,,,
