Investigator,,Time (s),Electrode,Amplitude(mV),,,,,,,,,,,,,,,,,,,,
,,23.97608,D5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,23.9816,D5_23,0.035,,,,,,,,,,,,,,,,,,,,
,,23.98184,C5_42,0.017,,,,,,,,,,,,,,,,,,,,
,,23.98432,D5_33,0.019,,,,,,,,,,,,,,,,,,,,
,,23.98672,D5_34,0.008,,,,,,,,,,,,,,,,,,,,
,,23.98768,D5_33,0.03,,,,,,,,,,,,,,,,,,,,
,,23.9892,D5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,23.99,D5_33,0.012,,,,,,,,,,,,,,,,,,,,
,,23.99168,D5_23,0.024,,,,,,,,,,,,,,,,,,,,
,,23.99432,D5_23,0.022,,,,,,,,,,,,,,,,,,,,
,,23.9976,D5_33,0.027,,,,,,,,,,,,,,,,,,,,
,,23.99864,D5_23,0.035,,,,,,,,,,,,,,,,,,,,
,,24.00088,D5_33,0.023,,,,,,,,,,,,,,,,,,,,
,,24.00152,D5_23,0.024,,,,,,,,,,,,,,,,,,,,
,,24.00984,D5_33,0.026,,,,,,,,,,,,,,,,,,,,
,,24.01008,D5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,24.01848,D2_32,0.015,,,,,,,,,,,,,,,,,,,,
,,24.01984,C5_42,0.019,,,,,,,,,,,,,,,,,,,,
,,24.02592,D5_23,0.024,,,,,,,,,,,,,,,,,,,,
,,24.02696,D5_34,0.025,,,,,,,,,,,,,,,,,,,,
,,24.03264,D5_23,0.022,,,,,,,,,,,,,,,,,,,,
,,24.03712,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,24.04048,D5_23,0.024,,,,,,,,,,,,,,,,,,,,
,,24.04216,D5_33,0.021,,,,,,,,,,,,,,,,,,,,
,,24.04728,D5_23,0.014,,,,,,,,,,,,,,,,,,,,
,,24.04784,D5_33,0.02,,,,,,,,,,,,,,,,,,,,
,,24.05088,C5_42,0.019,,,,,,,,,,,,,,,,,,,,
,,24.05152,D5_23,0.026,,,,,,,,,,,,,,,,,,,,
,,24.05864,D5_33,0.02,,,,,,,,,,,,,,,,,,,,
,,24.05992,D5_34,0.017,,,,,,,,,,,,,,,,,,,,
,,24.06088,D5_23,0.018,,,,,,,,,,,,,,,,,,,,
,,24.066,D5_23,0.03,,,,,,,,,,,,,,,,,,,,
,,24.06888,D5_34,0.011,,,,,,,,,,,,,,,,,,,,
,,24.06952,D5_23,0.03,,,,,,,,,,,,,,,,,,,,
,,24.07776,D5_34,0.021,,,,,,,,,,,,,,,,,,,,
,,24.0816,D5_34,0.011,,,,,,,,,,,,,,,,,,,,
,,24.08272,D5_33,0.022,,,,,,,,,,,,,,,,,,,,
,,24.0916,D5_23,0.025,,,,,,,,,,,,,,,,,,,,
,,24.09224,C5_42,0.019,,,,,,,,,,,,,,,,,,,,
,,24.09256,D5_34,0.016,,,,,,,,,,,,,,,,,,,,
,,24.09336,D5_33,0.02,,,,,,,,,,,,,,,,,,,,
,,24.09576,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,24.10344,D5_33,0.021,,,,,,,,,,,,,,,,,,,,
,,24.10488,D5_23,0.023,,,,,,,,,,,,,,,,,,,,
,,24.10848,D5_23,0.038,,,,,,,,,,,,,,,,,,,,
,,24.11536,D5_23,0.025,,,,,,,,,,,,,,,,,,,,
,,24.11848,D5_33,0.019,,,,,,,,,,,,,,,,,,,,
,,24.11872,D5_23,0.018,,,,,,,,,,,,,,,,,,,,
,,24.122,D5_34,0.013,,,,,,,,,,,,,,,,,,,,
,,24.13064,D5_23,0.017,,,,,,,,,,,,,,,,,,,,
,,24.136,D5_33,0.028,,,,,,,,,,,,,,,,,,,,
,,24.13736,D5_23,0.025,,,,,,,,,,,,,,,,,,,,
,,24.13952,D5_33,0.018,,,,,,,,,,,,,,,,,,,,
,,24.14544,D5_33,0.018,,,,,,,,,,,,,,,,,,,,
,,24.14592,D5_34,0.012,,,,,,,,,,,,,,,,,,,,
,,24.15424,D5_23,0.029,,,,,,,,,,,,,,,,,,,,
,,24.156,D5_33,0.019,,,,,,,,,,,,,,,,,,,,
,,24.1592,D5_33,0.016,,,,,,,,,,,,,,,,,,,,
,,24.16368,D5_23,0.022,,,,,,,,,,,,,,,,,,,,
,,24.16632,D5_33,0.021,,,,,,,,,,,,,,,,,,,,
,,24.17056,D5_23,0.017,,,,,,,,,,,,,,,,,,,,
,,24.17304,D5_33,0.022,,,,,,,,,,,,,,,,,,,,
,,24.17864,C5_42,0.02,,,,,,,,,,,,,,,,,,,,
,,24.17952,D5_23,0.016,,,,,,,,,,,,,,,,,,,,
,,24.1856,D5_23,0.026,,,,,,,,,,,,,,,,,,,,
,,24.20096,D5_34,0.014,,,,,,,,,,,,,,,,,,,,
,,24.20368,B4_12,0.017,,,,,,,,,,,,,,,,,,,,
,,24.2112,D5_23,0.037,,,,,,,,,,,,,,,,,,,,
,,24.22216,D5_23,0.015,,,,,,,,,,,,,,,,,,,,
,,24.24992,D5_23,0.016,,,,,,,,,,,,,,,,,,,,
,,24.26296,D5_33,0.016,,,,,,,,,,,,,,,,,,,,
,,24.27032,D5_23,0.027,,,,,,,,,,,,,,,,,,,,
,,24.28408,D5_23,0.018,,,,,,,,,,,,,,,,,,,,
,,24.30672,D5_23,0.022,,,,,,,,,,,,,,,,,,,,
,,24.33456,D5_33,0.018,,,,,,,,,,,,,,,,,,,,
,,24.33584,D5_23,0.028,,,,,,,,,,,,,,,,,,,,
,,24.34672,D5_23,0.025,,,,,,,,,,,,,,,,,,,,
,,24.354,D5_34,0.013,,,,,,,,,,,,,,,,,,,,
,,24.35696,D5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,24.41352,D5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,24.44952,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,24.4728,D5_23,0.026,,,,,,,,,,,,,,,,,,,,
,,24.49672,D5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,24.50936,D5_23,0.022,,,,,,,,,,,,,,,,,,,,
,,24.54008,D5_33,0.012,,,,,,,,,,,,,,,,,,,,
,,24.59624,D5_23,0.016,,,,,,,,,,,,,,,,,,,,
,,24.64264,D5_23,0.031,,,,,,,,,,,,,,,,,,,,
,,24.6448,B4_23,0.016,,,,,,,,,,,,,,,,,,,,
,,24.6952,D5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,24.71328,D2_44,0.019,,,,,,,,,,,,,,,,,,,,
,,24.80688,C5_42,0.018,,,,,,,,,,,,,,,,,,,,
,,24.92672,D2_44,0.018,,,,,,,,,,,,,,,,,,,,
,,25.01024,B4_23,0.017,,,,,,,,,,,,,,,,,,,,
,,25.0872,B4_12,0.015,,,,,,,,,,,,,,,,,,,,
,,25.15064,D5_23,0.024,,,,,,,,,,,,,,,,,,,,
,,25.3408,D5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,25.4824,C6_24,0.012,,,,,,,,,,,,,,,,,,,,
,,25.8008,D2_44,0.02,,,,,,,,,,,,,,,,,,,,
,,25.80416,B4_23,0.017,,,,,,,,,,,,,,,,,,,,
,,26.0496,D1_22,0.014,,,,,,,,,,,,,,,,,,,,
,,26.06,D3_14,0.022,,,,,,,,,,,,,,,,,,,,
,,26.25368,D1_42,0.013,,,,,,,,,,,,,,,,,,,,
,,26.5408,D1_43,0.017,,,,,,,,,,,,,,,,,,,,
,,26.89048,B4_23,0.018,,,,,,,,,,,,,,,,,,,,
,,27.3528,B4_23,0.015,,,,,,,,,,,,,,,,,,,,
,,27.35624,B6_22,0.016,,,,,,,,,,,,,,,,,,,,
,,27.55992,D5_23,0.029,,,,,,,,,,,,,,,,,,,,
,,27.63696,C2_22,0.02,,,,,,,,,,,,,,,,,,,,
,,27.78512,A2_43,0.014,,,,,,,,,,,,,,,,,,,,
,,27.87064,B4_23,0.012,,,,,,,,,,,,,,,,,,,,
,,27.99368,D5_23,0.018,,,,,,,,,,,,,,,,,,,,
,,28.21408,D5_23,0.018,,,,,,,,,,,,,,,,,,,,
,,28.40264,D3_33,0.012,,,,,,,,,,,,,,,,,,,,
,,28.48512,D2_32,0.016,,,,,,,,,,,,,,,,,,,,
,,28.6024,A1_43,0.017,,,,,,,,,,,,,,,,,,,,
,,29.03592,A6_11,0.024,,,,,,,,,,,,,,,,,,,,
,,29.1852,A2_43,0.019,,,,,,,,,,,,,,,,,,,,
,,29.62256,B2_31,0.015,,,,,,,,,,,,,,,,,,,,
,,29.9104,D5_23,0.017,,,,,,,,,,,,,,,,,,,,
,,29.94,A4_32,0.021,,,,,,,,,,,,,,,,,,,,
,,30.0292,A6_11,0.022,,,,,,,,,,,,,,,,,,,,
,,30.15504,A5_42,0.01,,,,,,,,,,,,,,,,,,,,
,,30.36328,B4_12,0.009,,,,,,,,,,,,,,,,,,,,
,,30.5564,B4_33,0.065,,,,,,,,,,,,,,,,,,,,
,,30.55968,D5_23,0.026,,,,,,,,,,,,,,,,,,,,
,,30.58576,D5_23,0.017,,,,,,,,,,,,,,,,,,,,
,,30.61672,B4_33,0.055,,,,,,,,,,,,,,,,,,,,
,,30.64992,D5_23,0.025,,,,,,,,,,,,,,,,,,,,
,,30.66512,B4_33,0.053,,,,,,,,,,,,,,,,,,,,
,,30.66808,B4_33,0.012,,,,,,,,,,,,,,,,,,,,
,,30.7192,B4_33,0.048,,,,,,,,,,,,,,,,,,,,
,,30.76936,D5_23,0.023,,,,,,,,,,,,,,,,,,,,
,,30.77456,B4_33,0.048,,,,,,,,,,,,,,,,,,,,
,,30.84488,B4_33,0.049,,,,,,,,,,,,,,,,,,,,
,,30.88496,D5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,30.938,B4_33,0.047,,,,,,,,,,,,,,,,,,,,
,,31.0072,B4_33,0.049,,,,,,,,,,,,,,,,,,,,
,,31.09112,B4_33,0.045,,,,,,,,,,,,,,,,,,,,
,,31.09768,D3_44,0.017,,,,,,,,,,,,,,,,,,,,
,,31.15016,B4_33,0.044,,,,,,,,,,,,,,,,,,,,
,,31.23736,B4_33,0.043,,,,,,,,,,,,,,,,,,,,
,,31.31488,B4_33,0.041,,,,,,,,,,,,,,,,,,,,
,,31.44424,B4_33,0.04,,,,,,,,,,,,,,,,,,,,
,,31.48856,A1_43,0.022,,,,,,,,,,,,,,,,,,,,
,,31.5248,B4_33,0.042,,,,,,,,,,,,,,,,,,,,
,,31.6052,B4_33,0.04,,,,,,,,,,,,,,,,,,,,
,,31.7604,D3_32,0.019,,,,,,,,,,,,,,,,,,,,
,,31.90056,C2_22,0.018,,,,,,,,,,,,,,,,,,,,
,,31.90328,B4_33,0.043,,,,,,,,,,,,,,,,,,,,
,,31.954,C5_42,0.021,,,,,,,,,,,,,,,,,,,,
,,31.97576,B4_33,0.039,,,,,,,,,,,,,,,,,,,,
,,32.03368,C5_42,0.017,,,,,,,,,,,,,,,,,,,,
,,32.04568,B4_33,0.035,,,,,,,,,,,,,,,,,,,,
,,32.12336,D3_32,0.017,,,,,,,,,,,,,,,,,,,,
,,32.13192,B4_33,0.035,,,,,,,,,,,,,,,,,,,,
,,32.1864,C5_42,0.018,,,,,,,,,,,,,,,,,,,,
,,32.19528,B4_33,0.035,,,,,,,,,,,,,,,,,,,,
,,32.22472,A1_43,0.018,,,,,,,,,,,,,,,,,,,,
,,32.26064,B4_33,0.031,,,,,,,,,,,,,,,,,,,,
,,32.3288,B4_33,0.028,,,,,,,,,,,,,,,,,,,,
,,32.35912,C5_42,0.016,,,,,,,,,,,,,,,,,,,,
,,32.37992,B4_33,0.022,,,,,,,,,,,,,,,,,,,,
,,32.49952,B4_33,0.024,,,,,,,,,,,,,,,,,,,,
,,32.58104,B4_33,0.013,,,,,,,,,,,,,,,,,,,,
,,32.65256,B4_33,0.014,,,,,,,,,,,,,,,,,,,,
,,32.73136,B4_33,0.014,,,,,,,,,,,,,,,,,,,,
,,32.84128,D3_43,0.021,,,,,,,,,,,,,,,,,,,,
,,33.11408,D5_23,0.016,,,,,,,,,,,,,,,,,,,,
,,33.31704,C6_22,0.015,,,,,,,,,,,,,,,,,,,,
,,33.7372,D3_32,0.02,,,,,,,,,,,,,,,,,,,,
,,33.88592,C5_42,0.02,,,,,,,,,,,,,,,,,,,,
,,33.96608,C5_42,0.018,,,,,,,,,,,,,,,,,,,,
,,34.14832,C5_42,0.015,,,,,,,,,,,,,,,,,,,,
,,34.2748,C5_42,0.025,,,,,,,,,,,,,,,,,,,,
,,34.31768,C5_42,0.018,,,,,,,,,,,,,,,,,,,,
,,34.3776,C5_42,0.017,,,,,,,,,,,,,,,,,,,,
,,34.4776,D5_23,0.016,,,,,,,,,,,,,,,,,,,,
,,34.52488,C5_42,0.018,,,,,,,,,,,,,,,,,,,,
,,34.60752,D3_44,0.016,,,,,,,,,,,,,,,,,,,,
,,34.74792,C1_32,0.015,,,,,,,,,,,,,,,,,,,,
,,34.83864,C1_31,0.011,,,,,,,,,,,,,,,,,,,,
,,35.21216,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,35.22888,A1_22,0.019,,,,,,,,,,,,,,,,,,,,
,,35.3208,D5_33,0.017,,,,,,,,,,,,,,,,,,,,
,,36.33304,C6_24,0.013,,,,,,,,,,,,,,,,,,,,
,,36.40832,D1_22,0.015,,,,,,,,,,,,,,,,,,,,
,,36.75488,D3_43,0.015,,,,,,,,,,,,,,,,,,,,
,,36.8772,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,36.95696,B4_12,0.018,,,,,,,,,,,,,,,,,,,,
,,37.19576,D5_23,0.018,,,,,,,,,,,,,,,,,,,,
,,37.276,B4_33,0.057,,,,,,,,,,,,,,,,,,,,
,,37.28008,A1_43,0.018,,,,,,,,,,,,,,,,,,,,
,,37.3256,D4_23,0.019,,,,,,,,,,,,,,,,,,,,
,,37.3292,B4_33,0.037,,,,,,,,,,,,,,,,,,,,
,,37.3324,B4_33,0.012,,,,,,,,,,,,,,,,,,,,
,,37.37832,B4_33,0.036,,,,,,,,,,,,,,,,,,,,
,,37.42096,A1_43,0.016,,,,,,,,,,,,,,,,,,,,
,,37.43384,B4_33,0.035,,,,,,,,,,,,,,,,,,,,
,,37.49104,A1_22,0.016,,,,,,,,,,,,,,,,,,,,
,,37.50112,B4_33,0.03,,,,,,,,,,,,,,,,,,,,
,,37.58328,B4_33,0.034,,,,,,,,,,,,,,,,,,,,
,,37.65752,B4_33,0.035,,,,,,,,,,,,,,,,,,,,
,,37.67904,A6_11,0.02,,,,,,,,,,,,,,,,,,,,
,,37.73336,D3_32,0.018,,,,,,,,,,,,,,,,,,,,
,,37.7416,B4_33,0.032,,,,,,,,,,,,,,,,,,,,
,,37.79704,B4_33,0.025,,,,,,,,,,,,,,,,,,,,
,,37.86184,D3_32,0.016,,,,,,,,,,,,,,,,,,,,
,,37.86792,B4_33,0.022,,,,,,,,,,,,,,,,,,,,
,,37.95728,B4_33,0.023,,,,,,,,,,,,,,,,,,,,
,,38.04688,B4_33,0.012,,,,,,,,,,,,,,,,,,,,
,,38.06056,D5_23,0.018,,,,,,,,,,,,,,,,,,,,
,,38.12528,B4_33,0.014,,,,,,,,,,,,,,,,,,,,
,,38.15392,D2_31,0.022,,,,,,,,,,,,,,,,,,,,
,,38.212,B4_33,0.013,,,,,,,,,,,,,,,,,,,,
,,38.22296,A6_12,0.026,,,,,,,,,,,,,,,,,,,,
,,38.23832,D5_23,0.018,,,,,,,,,,,,,,,,,,,,
,,38.30168,D3_43,0.012,,,,,,,,,,,,,,,,,,,,
,,38.37648,B4_33,0.018,,,,,,,,,,,,,,,,,,,,
,,38.40008,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,38.4592,B4_33,0.011,,,,,,,,,,,,,,,,,,,,
,,38.4764,D5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,38.53744,B4_33,0.012,,,,,,,,,,,,,,,,,,,,
,,38.66136,D5_23,0.016,,,,,,,,,,,,,,,,,,,,
,,38.74472,D5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,38.76488,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,38.94472,D5_23,0.015,,,,,,,,,,,,,,,,,,,,
,,39.39872,D5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,39.68368,D5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,39.83168,A1_43,0.013,,,,,,,,,,,,,,,,,,,,
,,39.92712,A3_34,0.014,,,,,,,,,,,,,,,,,,,,
,,39.93896,C1_13,0.019,,,,,,,,,,,,,,,,,,,,
,,40.41448,A1_44,0.016,,,,,,,,,,,,,,,,,,,,
,,40.68672,C5_42,0.023,,,,,,,,,,,,,,,,,,,,
,,40.73424,C5_42,0.018,,,,,,,,,,,,,,,,,,,,
,,40.7684,C5_42,0.016,,,,,,,,,,,,,,,,,,,,
,,40.86616,D3_43,0.019,,,,,,,,,,,,,,,,,,,,
,,40.88456,C5_42,0.017,,,,,,,,,,,,,,,,,,,,
,,40.9728,D1_14,0.019,,,,,,,,,,,,,,,,,,,,
,,41.17024,D1_14,0.019,,,,,,,,,,,,,,,,,,,,
,,41.3048,A6_11,0.014,,,,,,,,,,,,,,,,,,,,
,,41.31024,B4_12,0.018,,,,,,,,,,,,,,,,,,,,
,,41.31728,D5_23,0.022,,,,,,,,,,,,,,,,,,,,
,,41.35048,D1_14,0.014,,,,,,,,,,,,,,,,,,,,
,,41.36584,C5_42,0.021,,,,,,,,,,,,,,,,,,,,
,,41.45064,C5_42,0.015,,,,,,,,,,,,,,,,,,,,
,,41.49888,C5_42,0.017,,,,,,,,,,,,,,,,,,,,
,,41.71848,D5_23,0.022,,,,,,,,,,,,,,,,,,,,
,,41.72232,A1_34,0.016,,,,,,,,,,,,,,,,,,,,
,,41.75288,A3_43,0.014,,,,,,,,,,,,,,,,,,,,
,,41.79352,B4_33,0.046,,,,,,,,,,,,,,,,,,,,
,,41.85624,A1_44,0.014,,,,,,,,,,,,,,,,,,,,
,,41.86864,B4_33,0.035,,,,,,,,,,,,,,,,,,,,
,,41.94592,B4_33,0.028,,,,,,,,,,,,,,,,,,,,
,,42.01264,B4_33,0.015,,,,,,,,,,,,,,,,,,,,
,,42.07272,B4_33,0.018,,,,,,,,,,,,,,,,,,,,
,,42.14352,B4_33,0.017,,,,,,,,,,,,,,,,,,,,
,,42.21656,B4_33,0.017,,,,,,,,,,,,,,,,,,,,
,,42.43496,B4_12,0.012,,,,,,,,,,,,,,,,,,,,
,,42.67496,D5_23,0.027,,,,,,,,,,,,,,,,,,,,
,,42.72968,D5_23,0.025,,,,,,,,,,,,,,,,,,,,
,,42.8068,C2_22,0.02,,,,,,,,,,,,,,,,,,,,
,,42.96712,C6_24,0.018,,,,,,,,,,,,,,,,,,,,
,,42.96928,B4_23,0.016,,,,,,,,,,,,,,,,,,,,
,,42.98832,D5_33,0.011,,,,,,,,,,,,,,,,,,,,
,,43.1032,B4_23,0.016,,,,,,,,,,,,,,,,,,,,
,,43.10768,D5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,43.11552,D5_23,0.034,,,,,,,,,,,,,,,,,,,,
,,43.11792,D5_23,0.027,,,,,,,,,,,,,,,,,,,,
,,43.11984,D5_24,0.009,,,,,,,,,,,,,,,,,,,,
,,43.12096,D5_23,0.018,,,,,,,,,,,,,,,,,,,,
,,43.12616,D5_23,0.018,,,,,,,,,,,,,,,,,,,,
,,43.13392,D5_34,0.03,,,,,,,,,,,,,,,,,,,,
,,43.13544,D5_23,0.026,,,,,,,,,,,,,,,,,,,,
,,43.13624,C3_23,0.017,,,,,,,,,,,,,,,,,,,,
,,43.13968,D5_24,0.011,,,,,,,,,,,,,,,,,,,,
,,43.13992,D5_23,0.038,,,,,,,,,,,,,,,,,,,,
,,43.14048,D5_33,0.021,,,,,,,,,,,,,,,,,,,,
,,43.14288,D5_23,0.028,,,,,,,,,,,,,,,,,,,,
,,43.14344,D5_33,0.022,,,,,,,,,,,,,,,,,,,,
,,43.14544,D5_23,0.063,,,,,,,,,,,,,,,,,,,,
,,43.14704,D5_33,0.016,,,,,,,,,,,,,,,,,,,,
,,43.14856,D5_23,0.038,,,,,,,,,,,,,,,,,,,,
,,43.1496,D5_33,0.022,,,,,,,,,,,,,,,,,,,,
,,43.15072,D5_34,0.035,,,,,,,,,,,,,,,,,,,,
,,43.15152,D5_24,0.009,,,,,,,,,,,,,,,,,,,,
,,43.152,D5_33,0.028,,,,,,,,,,,,,,,,,,,,
,,43.15288,D5_23,0.027,,,,,,,,,,,,,,,,,,,,
,,43.15544,D5_23,0.038,,,,,,,,,,,,,,,,,,,,
,,43.1564,D5_33,0.028,,,,,,,,,,,,,,,,,,,,
,,43.15728,D5_24,0.009,,,,,,,,,,,,,,,,,,,,
,,43.15784,D5_23,0.067,,,,,,,,,,,,,,,,,,,,
,,43.15832,D5_34,0.015,,,,,,,,,,,,,,,,,,,,
,,43.15952,D5_33,0.024,,,,,,,,,,,,,,,,,,,,
,,43.16016,D5_23,0.041,,,,,,,,,,,,,,,,,,,,
,,43.16184,D5_22,0.011,,,,,,,,,,,,,,,,,,,,
,,43.16336,D5_33,0.024,,,,,,,,,,,,,,,,,,,,
,,43.16392,D5_23,0.032,,,,,,,,,,,,,,,,,,,,
,,43.16552,D5_24,0.013,,,,,,,,,,,,,,,,,,,,
,,43.16584,D5_33,0.024,,,,,,,,,,,,,,,,,,,,
,,43.16624,D5_34,0.025,,,,,,,,,,,,,,,,,,,,
,,43.16696,D5_23,0.026,,,,,,,,,,,,,,,,,,,,
,,43.16824,D5_33,0.022,,,,,,,,,,,,,,,,,,,,
,,43.17032,D5_23,0.075,,,,,,,,,,,,,,,,,,,,
,,43.17072,D5_34,0.014,,,,,,,,,,,,,,,,,,,,
,,43.17112,D5_33,0.03,,,,,,,,,,,,,,,,,,,,
,,43.17216,D5_24,0.013,,,,,,,,,,,,,,,,,,,,
,,43.17304,D5_23,0.03,,,,,,,,,,,,,,,,,,,,
,,43.17328,D5_34,0.025,,,,,,,,,,,,,,,,,,,,
,,43.17432,D5_33,0.019,,,,,,,,,,,,,,,,,,,,
,,43.17552,D5_23,0.028,,,,,,,,,,,,,,,,,,,,
,,43.17552,D5_34,0.012,,,,,,,,,,,,,,,,,,,,
,,43.1756,D5_24,0.012,,,,,,,,,,,,,,,,,,,,
,,43.17728,D5_33,0.022,,,,,,,,,,,,,,,,,,,,
,,43.17824,D5_23,0.038,,,,,,,,,,,,,,,,,,,,
,,43.1788,D5_34,0.025,,,,,,,,,,,,,,,,,,,,
,,43.1804,D5_33,0.018,,,,,,,,,,,,,,,,,,,,
,,43.18072,D5_23,0.027,,,,,,,,,,,,,,,,,,,,
,,43.18184,D5_34,0.01,,,,,,,,,,,,,,,,,,,,
,,43.1828,D5_33,0.019,,,,,,,,,,,,,,,,,,,,
,,43.18328,D5_23,0.06,,,,,,,,,,,,,,,,,,,,
,,43.18552,D5_23,0.028,,,,,,,,,,,,,,,,,,,,
,,43.18632,D5_33,0.02,,,,,,,,,,,,,,,,,,,,
,,43.18696,D5_34,0.024,,,,,,,,,,,,,,,,,,,,
,,43.188,D5_23,0.033,,,,,,,,,,,,,,,,,,,,
,,43.18888,D5_33,0.05,,,,,,,,,,,,,,,,,,,,
,,43.18984,D5_34,0.023,,,,,,,,,,,,,,,,,,,,
,,43.19104,D5_23,0.036,,,,,,,,,,,,,,,,,,,,
,,43.19152,D5_33,0.025,,,,,,,,,,,,,,,,,,,,
,,43.19168,D5_24,0.01,,,,,,,,,,,,,,,,,,,,
,,43.19424,D5_24,0.01,,,,,,,,,,,,,,,,,,,,
,,43.19424,D5_33,0.022,,,,,,,,,,,,,,,,,,,,
,,43.19456,D5_23,0.04,,,,,,,,,,,,,,,,,,,,
,,43.19576,D5_34,0.013,,,,,,,,,,,,,,,,,,,,
,,43.1968,D5_33,0.025,,,,,,,,,,,,,,,,,,,,
,,43.1972,D5_24,0.011,,,,,,,,,,,,,,,,,,,,
,,43.19752,D5_23,0.04,,,,,,,,,,,,,,,,,,,,
,,43.20024,D5_23,0.037,,,,,,,,,,,,,,,,,,,,
,,43.20096,D5_34,0.009,,,,,,,,,,,,,,,,,,,,
,,43.20104,D5_33,0.023,,,,,,,,,,,,,,,,,,,,
,,43.2032,D5_23,0.059,,,,,,,,,,,,,,,,,,,,
,,43.20384,D5_33,0.019,,,,,,,,,,,,,,,,,,,,
,,43.20632,D5_33,0.021,,,,,,,,,,,,,,,,,,,,
,,43.20696,D5_23,0.032,,,,,,,,,,,,,,,,,,,,
,,43.20792,D5_34,0.015,,,,,,,,,,,,,,,,,,,,
,,43.2092,D5_24,0.008,,,,,,,,,,,,,,,,,,,,
,,43.2096,D5_23,0.04,,,,,,,,,,,,,,,,,,,,
,,43.21016,D5_33,0.019,,,,,,,,,,,,,,,,,,,,
,,43.2124,D5_33,0.018,,,,,,,,,,,,,,,,,,,,
,,43.2132,D5_23,0.031,,,,,,,,,,,,,,,,,,,,
,,43.2136,D5_24,0.011,,,,,,,,,,,,,,,,,,,,
,,43.21456,D5_34,0.027,,,,,,,,,,,,,,,,,,,,
,,43.21536,D5_33,0.021,,,,,,,,,,,,,,,,,,,,
,,43.21648,D5_23,0.03,,,,,,,,,,,,,,,,,,,,
,,43.21808,D5_33,0.021,,,,,,,,,,,,,,,,,,,,
,,43.21928,D5_23,0.032,,,,,,,,,,,,,,,,,,,,
,,43.2212,D5_34,0.018,,,,,,,,,,,,,,,,,,,,
,,43.22184,D5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,43.22304,D5_33,0.02,,,,,,,,,,,,,,,,,,,,
,,43.22504,D5_23,0.022,,,,,,,,,,,,,,,,,,,,
,,43.22528,D5_34,0.018,,,,,,,,,,,,,,,,,,,,
,,43.22824,D5_23,0.025,,,,,,,,,,,,,,,,,,,,
,,43.22912,D5_34,0.022,,,,,,,,,,,,,,,,,,,,
,,43.23032,D5_33,0.03,,,,,,,,,,,,,,,,,,,,
,,43.23048,D5_23,0.025,,,,,,,,,,,,,,,,,,,,
,,43.23256,D5_33,0.026,,,,,,,,,,,,,,,,,,,,
,,43.2332,D5_23,0.034,,,,,,,,,,,,,,,,,,,,
,,43.236,D5_23,0.032,,,,,,,,,,,,,,,,,,,,
,,43.23656,D5_33,0.025,,,,,,,,,,,,,,,,,,,,
,,43.23656,D5_34,0.017,,,,,,,,,,,,,,,,,,,,
,,43.23808,D5_22,0.011,,,,,,,,,,,,,,,,,,,,
,,43.23848,D5_23,0.027,,,,,,,,,,,,,,,,,,,,
,,43.23944,D5_33,0.032,,,,,,,,,,,,,,,,,,,,
,,43.2408,D5_23,0.035,,,,,,,,,,,,,,,,,,,,
,,43.24216,D5_33,0.023,,,,,,,,,,,,,,,,,,,,
,,43.24368,D5_23,0.03,,,,,,,,,,,,,,,,,,,,
,,43.24544,D5_33,0.024,,,,,,,,,,,,,,,,,,,,
,,43.24592,D5_23,0.031,,,,,,,,,,,,,,,,,,,,
,,43.24816,D5_23,0.063,,,,,,,,,,,,,,,,,,,,
,,43.24912,D5_33,0.025,,,,,,,,,,,,,,,,,,,,
,,43.25104,D5_23,0.024,,,,,,,,,,,,,,,,,,,,
,,43.25136,D5_33,0.02,,,,,,,,,,,,,,,,,,,,
,,43.25392,D5_34,0.015,,,,,,,,,,,,,,,,,,,,
,,43.254,D5_33,0.019,,,,,,,,,,,,,,,,,,,,
,,43.25568,D5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,43.25632,D5_34,0.023,,,,,,,,,,,,,,,,,,,,
,,43.2572,D5_33,0.026,,,,,,,,,,,,,,,,,,,,
,,43.25848,D5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,43.25904,D5_34,0.014,,,,,,,,,,,,,,,,,,,,
