Investigator,,Time (s),Electrode,Amplitude(mV),,,,,,,,,,,,,,,,,,,,
,,16.79736,A1_42,0.014,,,,,,,,,,,,,,,,,,,,
,,17.07904,C5_33,0.016,,,,,,,,,,,,,,,,,,,,
,,17.24024,C5_33,0.017,,,,,,,,,,,,,,,,,,,,
,,17.31568,A4_23,0.033,,,,,,,,,,,,,,,,,,,,
,,17.39496,B5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,17.41632,C5_33,0.016,,,,,,,,,,,,,,,,,,,,
,,17.44784,D2_34,0.018,,,,,,,,,,,,,,,,,,,,
,,17.53408,A4_14,0.012,,,,,,,,,,,,,,,,,,,,
,,17.7884,D3_24,0.013,,,,,,,,,,,,,,,,,,,,
,,17.91336,A1_44,0.012,,,,,,,,,,,,,,,,,,,,
,,17.91424,A4_23,0.029,,,,,,,,,,,,,,,,,,,,
,,18.02328,B6_24,0.014,,,,,,,,,,,,,,,,,,,,
,,18.09608,D2_14,0.017,,,,,,,,,,,,,,,,,,,,
,,18.18624,B6_24,0.016,,,,,,,,,,,,,,,,,,,,
,,18.44288,B5_13,0.015,,,,,,,,,,,,,,,,,,,,
,,18.48808,A4_23,0.032,,,,,,,,,,,,,,,,,,,,
,,18.55264,C5_33,0.019,,,,,,,,,,,,,,,,,,,,
,,18.56328,B5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,18.65904,B3_12,0.022,,,,,,,,,,,,,,,,,,,,
,,18.75776,A4_23,0.019,,,,,,,,,,,,,,,,,,,,
,,18.80536,A4_23,0.029,,,,,,,,,,,,,,,,,,,,
,,18.8568,B5_12,0.019,,,,,,,,,,,,,,,,,,,,
,,18.94304,B5_31,0.016,,,,,,,,,,,,,,,,,,,,
,,18.97032,A4_23,0.024,,,,,,,,,,,,,,,,,,,,
,,18.9868,C4_33,0.02,,,,,,,,,,,,,,,,,,,,
,,19.03792,B5_12,0.018,,,,,,,,,,,,,,,,,,,,
,,19.09392,A1_44,0.012,,,,,,,,,,,,,,,,,,,,
,,19.18056,D5_44,0.012,,,,,,,,,,,,,,,,,,,,
,,19.25112,C5_22,0.019,,,,,,,,,,,,,,,,,,,,
