Investigator,,Time (s),Electrode,Amplitude(mV),,,,,,,,,,,,,,,,,,,,
,,27.30768,B5_23,0.016,,,,,,,,,,,,,,,,,,,,
,,27.3344,B6_42,0.019,,,,,,,,,,,,,,,,,,,,
,,27.3528,B5_23,0.017,,,,,,,,,,,,,,,,,,,,
,,27.39128,A1_44,0.014,,,,,,,,,,,,,,,,,,,,
,,27.58648,C3_42,0.017,,,,,,,,,,,,,,,,,,,,
,,27.76912,A1_44,0.015,,,,,,,,,,,,,,,,,,,,
,,27.77768,B5_23,0.013,,,,,,,,,,,,,,,,,,,,
,,27.7784,C5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,27.88144,A6_34,0.023,,,,,,,,,,,,,,,,,,,,
,,27.95752,C5_33,0.018,,,,,,,,,,,,,,,,,,,,
,,27.97984,B5_23,0.015,,,,,,,,,,,,,,,,,,,,
,,28.06392,A1_44,0.016,,,,,,,,,,,,,,,,,,,,
,,28.17512,D2_33,0.027,,,,,,,,,,,,,,,,,,,,
,,28.2264,C4_33,0.023,,,,,,,,,,,,,,,,,,,,
,,28.28136,A4_43,0.018,,,,,,,,,,,,,,,,,,,,
,,28.29416,B5_23,0.016,,,,,,,,,,,,,,,,,,,,
,,28.34568,A4_33,0.012,,,,,,,,,,,,,,,,,,,,
,,28.37616,A4_43,0.017,,,,,,,,,,,,,,,,,,,,
,,28.42552,B5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,28.46264,C5_13,0.016,,,,,,,,,,,,,,,,,,,,
,,28.58304,C5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,28.73824,C5_13,0.015,,,,,,,,,,,,,,,,,,,,
,,28.77808,B5_22,0.015,,,,,,,,,,,,,,,,,,,,
,,28.86104,C5_33,0.016,,,,,,,,,,,,,,,,,,,,
,,28.95632,B5_13,0.016,,,,,,,,,,,,,,,,,,,,
,,29.13736,D2_33,0.022,,,,,,,,,,,,,,,,,,,,
,,29.14288,B5_13,0.014,,,,,,,,,,,,,,,,,,,,
,,29.14864,B3_12,0.023,,,,,,,,,,,,,,,,,,,,
,,29.24152,C5_33,0.02,,,,,,,,,,,,,,,,,,,,
,,29.35512,A1_44,0.012,,,,,,,,,,,,,,,,,,,,
,,29.35648,A4_23,0.017,,,,,,,,,,,,,,,,,,,,
,,29.66128,A4_23,0.019,,,,,,,,,,,,,,,,,,,,
,,29.69592,B5_22,0.018,,,,,,,,,,,,,,,,,,,,
,,29.76536,C4_33,0.021,,,,,,,,,,,,,,,,,,,,
,,29.97432,A4_34,0.013,,,,,,,,,,,,,,,,,,,,
,,30.14064,A4_23,0.032,,,,,,,,,,,,,,,,,,,,
,,30.17984,A4_23,0.019,,,,,,,,,,,,,,,,,,,,
,,30.24704,D2_13,0.018,,,,,,,,,,,,,,,,,,,,
,,30.27328,A3_22,0.013,,,,,,,,,,,,,,,,,,,,
,,30.2796,A4_34,0.012,,,,,,,,,,,,,,,,,,,,
,,30.33616,B3_12,0.027,,,,,,,,,,,,,,,,,,,,
,,30.36024,C6_44,0.016,,,,,,,,,,,,,,,,,,,,
,,30.44368,C3_42,0.017,,,,,,,,,,,,,,,,,,,,
,,30.53984,C4_33,0.025,,,,,,,,,,,,,,,,,,,,
,,30.79016,C5_13,0.022,,,,,,,,,,,,,,,,,,,,
,,30.93048,B5_22,0.018,,,,,,,,,,,,,,,,,,,,
,,30.9924,A2_14,0.015,,,,,,,,,,,,,,,,,,,,
,,31.07352,A4_23,0.022,,,,,,,,,,,,,,,,,,,,
,,31.14552,A4_23,0.02,,,,,,,,,,,,,,,,,,,,
,,31.21992,C4_33,0.024,,,,,,,,,,,,,,,,,,,,
,,31.46824,B3_12,0.021,,,,,,,,,,,,,,,,,,,,
,,31.47376,A4_23,0.024,,,,,,,,,,,,,,,,,,,,
,,31.76112,D6_23,0.013,,,,,,,,,,,,,,,,,,,,
,,31.89016,C5_22,0.018,,,,,,,,,,,,,,,,,,,,
,,31.94832,C5_22,0.015,,,,,,,,,,,,,,,,,,,,
,,32.2792,C5_33,0.019,,,,,,,,,,,,,,,,,,,,
,,32.532,B3_12,0.025,,,,,,,,,,,,,,,,,,,,
,,32.5472,C5_14,0.015,,,,,,,,,,,,,,,,,,,,
,,32.73312,C5_22,0.015,,,,,,,,,,,,,,,,,,,,
,,32.96888,B6_33,0.018,,,,,,,,,,,,,,,,,,,,
,,33.13216,C4_33,0.026,,,,,,,,,,,,,,,,,,,,
,,33.1764,D2_33,0.023,,,,,,,,,,,,,,,,,,,,
,,33.28656,D2_33,0.031,,,,,,,,,,,,,,,,,,,,
,,33.66584,B6_42,0.017,,,,,,,,,,,,,,,,,,,,
,,33.71072,A4_23,0.022,,,,,,,,,,,,,,,,,,,,
,,33.75464,A6_34,0.037,,,,,,,,,,,,,,,,,,,,
,,33.80232,C5_14,0.018,,,,,,,,,,,,,,,,,,,,
,,33.84264,A6_34,0.034,,,,,,,,,,,,,,,,,,,,
,,33.88632,D2_34,0.018,,,,,,,,,,,,,,,,,,,,
,,33.9,A4_23,0.015,,,,,,,,,,,,,,,,,,,,
,,33.90408,C5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,33.9264,B5_12,0.016,,,,,,,,,,,,,,,,,,,,
,,33.92704,A6_34,0.03,,,,,,,,,,,,,,,,,,,,
,,33.98424,B6_23,0.036,,,,,,,,,,,,,,,,,,,,
,,33.98992,B6_42,0.019,,,,,,,,,,,,,,,,,,,,
,,34.00728,A6_34,0.02,,,,,,,,,,,,,,,,,,,,
,,34.04064,B5_11,0.015,,,,,,,,,,,,,,,,,,,,
,,34.14256,A6_34,0.028,,,,,,,,,,,,,,,,,,,,
,,34.16976,B5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,34.198,B3_12,0.029,,,,,,,,,,,,,,,,,,,,
,,34.202,C5_14,0.017,,,,,,,,,,,,,,,,,,,,
,,34.28032,A4_23,0.019,,,,,,,,,,,,,,,,,,,,
,,34.31152,A6_34,0.024,,,,,,,,,,,,,,,,,,,,
,,34.33304,A4_43,0.019,,,,,,,,,,,,,,,,,,,,
,,34.45176,B5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,34.64832,C5_13,0.02,,,,,,,,,,,,,,,,,,,,
,,34.70912,B6_23,0.022,,,,,,,,,,,,,,,,,,,,
,,34.71432,C5_33,0.02,,,,,,,,,,,,,,,,,,,,
,,34.76936,C5_13,0.017,,,,,,,,,,,,,,,,,,,,
,,34.90592,B5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,34.96416,C5_22,0.015,,,,,,,,,,,,,,,,,,,,
,,35.02344,B3_12,0.026,,,,,,,,,,,,,,,,,,,,
,,35.10496,B6_24,0.014,,,,,,,,,,,,,,,,,,,,
,,35.2296,B6_43,0.015,,,,,,,,,,,,,,,,,,,,
,,35.246,B6_42,0.014,,,,,,,,,,,,,,,,,,,,
,,35.4052,B6_23,0.021,,,,,,,,,,,,,,,,,,,,
,,35.46728,B6_42,0.016,,,,,,,,,,,,,,,,,,,,
,,35.61408,A4_23,0.018,,,,,,,,,,,,,,,,,,,,
,,35.8432,A1_44,0.013,,,,,,,,,,,,,,,,,,,,
,,36.06704,B3_12,0.022,,,,,,,,,,,,,,,,,,,,
,,36.2396,B5_23,0.015,,,,,,,,,,,,,,,,,,,,
,,36.40032,B3_31,0.014,,,,,,,,,,,,,,,,,,,,
,,36.52944,A4_23,0.023,,,,,,,,,,,,,,,,,,,,
,,36.68816,C4_33,0.019,,,,,,,,,,,,,,,,,,,,
,,36.6884,C1_34,0.016,,,,,,,,,,,,,,,,,,,,
,,36.74176,C5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,36.75016,A2_34,0.017,,,,,,,,,,,,,,,,,,,,
,,36.75888,B5_31,0.014,,,,,,,,,,,,,,,,,,,,
,,36.78976,C4_33,0.019,,,,,,,,,,,,,,,,,,,,
,,36.87728,B5_11,0.012,,,,,,,,,,,,,,,,,,,,
,,36.90376,A4_23,0.03,,,,,,,,,,,,,,,,,,,,
,,36.91648,B5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,36.91832,B5_33,0.015,,,,,,,,,,,,,,,,,,,,
,,36.96272,B5_13,0.018,,,,,,,,,,,,,,,,,,,,
,,36.99016,B3_12,0.026,,,,,,,,,,,,,,,,,,,,
,,37.00176,B5_33,0.013,,,,,,,,,,,,,,,,,,,,
,,37.0448,B5_33,0.015,,,,,,,,,,,,,,,,,,,,
,,37.07992,C5_34,0.018,,,,,,,,,,,,,,,,,,,,
,,37.10712,B5_33,0.015,,,,,,,,,,,,,,,,,,,,
,,37.12432,C5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,37.1896,A1_44,0.013,,,,,,,,,,,,,,,,,,,,
,,37.21312,D2_33,0.025,,,,,,,,,,,,,,,,,,,,
,,37.23056,C1_34,0.016,,,,,,,,,,,,,,,,,,,,
,,37.27088,C5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,37.37312,B5_33,0.015,,,,,,,,,,,,,,,,,,,,
,,37.50208,C3_33,0.016,,,,,,,,,,,,,,,,,,,,
,,37.54808,B5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,37.64592,B4_32,0.016,,,,,,,,,,,,,,,,,,,,
,,37.70184,B5_22,0.019,,,,,,,,,,,,,,,,,,,,
,,37.78768,C1_34,0.016,,,,,,,,,,,,,,,,,,,,
,,37.8176,B3_12,0.024,,,,,,,,,,,,,,,,,,,,
,,37.84352,B5_33,0.013,,,,,,,,,,,,,,,,,,,,
,,37.88088,A4_14,0.015,,,,,,,,,,,,,,,,,,,,
,,37.9112,B5_33,0.021,,,,,,,,,,,,,,,,,,,,
,,37.98928,B5_33,0.017,,,,,,,,,,,,,,,,,,,,
,,37.99384,B6_24,0.017,,,,,,,,,,,,,,,,,,,,
,,38.01152,B6_43,0.019,,,,,,,,,,,,,,,,,,,,
,,38.04208,A2_34,0.015,,,,,,,,,,,,,,,,,,,,
,,38.05232,B5_31,0.013,,,,,,,,,,,,,,,,,,,,
,,38.05744,B5_33,0.014,,,,,,,,,,,,,,,,,,,,
,,38.10824,B3_31,0.014,,,,,,,,,,,,,,,,,,,,
,,38.11168,B4_34,0.018,,,,,,,,,,,,,,,,,,,,
,,38.14432,B6_43,0.022,,,,,,,,,,,,,,,,,,,,
,,38.16208,B6_43,0.015,,,,,,,,,,,,,,,,,,,,
,,38.19448,B3_31,0.015,,,,,,,,,,,,,,,,,,,,
,,38.40832,A3_22,0.02,,,,,,,,,,,,,,,,,,,,
,,38.4292,A4_23,0.03,,,,,,,,,,,,,,,,,,,,
,,38.47128,B6_43,0.017,,,,,,,,,,,,,,,,,,,,
,,38.48888,B6_43,0.026,,,,,,,,,,,,,,,,,,,,
,,38.52088,B5_13,0.015,,,,,,,,,,,,,,,,,,,,
,,38.87056,B3_31,0.016,,,,,,,,,,,,,,,,,,,,
,,38.91424,C4_33,0.021,,,,,,,,,,,,,,,,,,,,
,,38.91536,B3_31,0.013,,,,,,,,,,,,,,,,,,,,
,,38.9196,D2_34,0.018,,,,,,,,,,,,,,,,,,,,
,,39.02056,A4_23,0.034,,,,,,,,,,,,,,,,,,,,
,,39.02184,B3_12,0.024,,,,,,,,,,,,,,,,,,,,
,,39.07256,A4_23,0.02,,,,,,,,,,,,,,,,,,,,
,,39.23768,A1_44,0.015,,,,,,,,,,,,,,,,,,,,
,,39.3564,B3_22,0.014,,,,,,,,,,,,,,,,,,,,
,,39.44688,B5_13,0.012,,,,,,,,,,,,,,,,,,,,
,,39.45392,B5_13,0.016,,,,,,,,,,,,,,,,,,,,
,,39.45496,B5_22,0.015,,,,,,,,,,,,,,,,,,,,
,,39.5272,C4_33,0.02,,,,,,,,,,,,,,,,,,,,
,,39.53192,A4_23,0.02,,,,,,,,,,,,,,,,,,,,
,,39.5684,B5_22,0.019,,,,,,,,,,,,,,,,,,,,
,,39.57504,D2_33,0.019,,,,,,,,,,,,,,,,,,,,
,,39.62536,C1_43,0.012,,,,,,,,,,,,,,,,,,,,
,,39.75216,C5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,39.80248,C5_44,0.016,,,,,,,,,,,,,,,,,,,,
,,39.8276,B5_22,0.02,,,,,,,,,,,,,,,,,,,,
,,39.83136,A1_44,0.013,,,,,,,,,,,,,,,,,,,,
,,39.8704,D2_33,0.015,,,,,,,,,,,,,,,,,,,,
,,39.88912,C4_33,0.017,,,,,,,,,,,,,,,,,,,,
,,39.93008,C4_33,0.019,,,,,,,,,,,,,,,,,,,,
,,39.95616,B5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,39.98464,C4_33,0.024,,,,,,,,,,,,,,,,,,,,
,,40.04752,A4_23,0.021,,,,,,,,,,,,,,,,,,,,
,,40.17296,B5_13,0.016,,,,,,,,,,,,,,,,,,,,
,,40.178,B6_42,0.019,,,,,,,,,,,,,,,,,,,,
,,40.188,C5_22,0.013,,,,,,,,,,,,,,,,,,,,
,,40.28584,A4_23,0.035,,,,,,,,,,,,,,,,,,,,
,,40.33512,B5_31,0.018,,,,,,,,,,,,,,,,,,,,
,,40.39224,B3_12,0.014,,,,,,,,,,,,,,,,,,,,
,,40.44488,B5_31,0.016,,,,,,,,,,,,,,,,,,,,
,,40.4552,B3_31,0.012,,,,,,,,,,,,,,,,,,,,
,,40.47336,A4_43,0.016,,,,,,,,,,,,,,,,,,,,
,,40.47672,B5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,40.51,C4_33,0.018,,,,,,,,,,,,,,,,,,,,
,,40.67848,B5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,40.72848,C5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,40.81224,C4_33,0.023,,,,,,,,,,,,,,,,,,,,
,,40.87936,C5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,40.9208,B3_12,0.027,,,,,,,,,,,,,,,,,,,,
,,40.97528,C4_33,0.016,,,,,,,,,,,,,,,,,,,,
,,40.9948,C5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,41.07072,A6_34,0.019,,,,,,,,,,,,,,,,,,,,
,,41.20424,D2_33,0.014,,,,,,,,,,,,,,,,,,,,
,,41.44992,D5_44,0.014,,,,,,,,,,,,,,,,,,,,
,,41.51496,B5_13,0.016,,,,,,,,,,,,,,,,,,,,
,,41.57416,C4_33,0.019,,,,,,,,,,,,,,,,,,,,
,,41.60856,B5_22,0.025,,,,,,,,,,,,,,,,,,,,
,,41.762,B4_22,0.015,,,,,,,,,,,,,,,,,,,,
,,41.7684,C5_22,0.015,,,,,,,,,,,,,,,,,,,,
,,41.8084,B6_24,0.016,,,,,,,,,,,,,,,,,,,,
,,41.81192,A1_44,0.014,,,,,,,,,,,,,,,,,,,,
,,41.8656,D2_33,0.026,,,,,,,,,,,,,,,,,,,,
,,41.9844,C4_33,0.023,,,,,,,,,,,,,,,,,,,,
,,42.01192,C5_22,0.014,,,,,,,,,,,,,,,,,,,,
,,42.03704,C5_22,0.013,,,,,,,,,,,,,,,,,,,,
,,42.09336,D2_33,0.022,,,,,,,,,,,,,,,,,,,,
,,42.11648,C3_43,0.017,,,,,,,,,,,,,,,,,,,,
,,42.1968,C5_33,0.015,,,,,,,,,,,,,,,,,,,,
,,42.24912,A4_23,0.016,,,,,,,,,,,,,,,,,,,,
,,42.3468,B6_24,0.016,,,,,,,,,,,,,,,,,,,,
,,42.46744,B3_12,0.026,,,,,,,,,,,,,,,,,,,,
,,42.57784,C5_33,0.016,,,,,,,,,,,,,,,,,,,,
,,42.58104,B5_23,0.016,,,,,,,,,,,,,,,,,,,,
,,42.7992,C1_43,0.016,,,,,,,,,,,,,,,,,,,,
,,42.822,A1_44,0.016,,,,,,,,,,,,,,,,,,,,
,,42.84032,B6_42,0.016,,,,,,,,,,,,,,,,,,,,
,,42.96112,B6_42,0.02,,,,,,,,,,,,,,,,,,,,
,,42.9916,B5_11,0.013,,,,,,,,,,,,,,,,,,,,
,,43.04704,C1_43,0.015,,,,,,,,,,,,,,,,,,,,
,,43.05896,C4_33,0.017,,,,,,,,,,,,,,,,,,,,
,,43.1288,C4_33,0.025,,,,,,,,,,,,,,,,,,,,
,,43.17816,C5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,43.19424,B5_22,0.018,,,,,,,,,,,,,,,,,,,,
,,43.22464,C4_33,0.023,,,,,,,,,,,,,,,,,,,,
,,43.24368,C3_34,0.014,,,,,,,,,,,,,,,,,,,,
,,43.25696,A4_23,0.02,,,,,,,,,,,,,,,,,,,,
,,43.29024,A4_23,0.021,,,,,,,,,,,,,,,,,,,,
,,43.30936,C3_34,0.014,,,,,,,,,,,,,,,,,,,,
,,43.53192,B5_12,0.017,,,,,,,,,,,,,,,,,,,,
,,43.60496,C5_22,0.015,,,,,,,,,,,,,,,,,,,,
,,43.674,A4_23,0.021,,,,,,,,,,,,,,,,,,,,
,,43.76736,B6_42,0.015,,,,,,,,,,,,,,,,,,,,
,,43.77344,C4_33,0.021,,,,,,,,,,,,,,,,,,,,
,,43.81432,B3_12,0.024,,,,,,,,,,,,,,,,,,,,
,,43.95656,A4_23,0.031,,,,,,,,,,,,,,,,,,,,
,,44.01512,D2_34,0.016,,,,,,,,,,,,,,,,,,,,
,,44.0412,C5_34,0.018,,,,,,,,,,,,,,,,,,,,
,,44.06168,B6_43,0.024,,,,,,,,,,,,,,,,,,,,
,,44.10432,A1_44,0.015,,,,,,,,,,,,,,,,,,,,
,,44.12928,B6_43,0.015,,,,,,,,,,,,,,,,,,,,
,,44.2924,A4_23,0.018,,,,,,,,,,,,,,,,,,,,
,,44.3508,C5_34,0.02,,,,,,,,,,,,,,,,,,,,
,,44.44064,A6_24,0.018,,,,,,,,,,,,,,,,,,,,
,,44.4572,B3_12,0.029,,,,,,,,,,,,,,,,,,,,
,,44.50208,B6_42,0.02,,,,,,,,,,,,,,,,,,,,
,,44.55376,A1_44,0.014,,,,,,,,,,,,,,,,,,,,
,,44.72824,C3_43,0.016,,,,,,,,,,,,,,,,,,,,
,,44.77496,A4_23,0.019,,,,,,,,,,,,,,,,,,,,
,,44.9244,A6_34,0.02,,,,,,,,,,,,,,,,,,,,
,,44.9328,C5_33,0.018,,,,,,,,,,,,,,,,,,,,
,,45.04776,A4_23,0.021,,,,,,,,,,,,,,,,,,,,
,,45.0668,C5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,45.09296,B3_12,0.024,,,,,,,,,,,,,,,,,,,,
,,45.1356,C5_43,0.013,,,,,,,,,,,,,,,,,,,,
,,45.26896,B6_24,0.012,,,,,,,,,,,,,,,,,,,,
,,45.30432,C5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,45.36008,A4_23,0.021,,,,,,,,,,,,,,,,,,,,
,,45.3732,A4_23,0.03,,,,,,,,,,,,,,,,,,,,
,,45.59112,A4_23,0.036,,,,,,,,,,,,,,,,,,,,
,,45.59368,B5_22,0.013,,,,,,,,,,,,,,,,,,,,
,,45.60096,C5_22,0.014,,,,,,,,,,,,,,,,,,,,
,,45.62944,B5_33,0.017,,,,,,,,,,,,,,,,,,,,
,,45.70968,B5_33,0.013,,,,,,,,,,,,,,,,,,,,
,,45.7932,B5_33,0.014,,,,,,,,,,,,,,,,,,,,
,,45.98256,C5_22,0.013,,,,,,,,,,,,,,,,,,,,
,,46.06856,A6_34,0.032,,,,,,,,,,,,,,,,,,,,
,,46.0868,D2_34,0.016,,,,,,,,,,,,,,,,,,,,
,,46.11712,B5_13,0.014,,,,,,,,,,,,,,,,,,,,
,,46.16592,A4_24,0.014,,,,,,,,,,,,,,,,,,,,
,,46.22136,C6_43,0.019,,,,,,,,,,,,,,,,,,,,
,,46.23728,B5_12,0.019,,,,,,,,,,,,,,,,,,,,
,,46.2884,B5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,46.40496,C5_33,0.015,,,,,,,,,,,,,,,,,,,,
,,46.42984,C3_34,0.013,,,,,,,,,,,,,,,,,,,,
,,46.49928,C5_22,0.019,,,,,,,,,,,,,,,,,,,,
,,46.56128,C5_14,0.016,,,,,,,,,,,,,,,,,,,,
,,46.5684,B5_22,0.014,,,,,,,,,,,,,,,,,,,,
,,46.57912,C4_33,0.018,,,,,,,,,,,,,,,,,,,,
,,46.6208,C5_33,0.019,,,,,,,,,,,,,,,,,,,,
,,46.65888,C3_34,0.013,,,,,,,,,,,,,,,,,,,,
,,46.8176,A4_23,0.027,,,,,,,,,,,,,,,,,,,,
,,47.03808,A1_43,0.012,,,,,,,,,,,,,,,,,,,,
,,47.04744,C4_33,0.022,,,,,,,,,,,,,,,,,,,,
,,47.13192,A1_44,0.014,,,,,,,,,,,,,,,,,,,,
,,47.1372,D2_33,0.027,,,,,,,,,,,,,,,,,,,,
,,47.17024,C4_33,0.017,,,,,,,,,,,,,,,,,,,,
,,47.19592,A4_23,0.034,,,,,,,,,,,,,,,,,,,,
,,47.2544,C4_33,0.021,,,,,,,,,,,,,,,,,,,,
,,47.28464,D2_34,0.019,,,,,,,,,,,,,,,,,,,,
,,47.30696,A4_43,0.015,,,,,,,,,,,,,,,,,,,,
,,47.4292,A4_23,0.028,,,,,,,,,,,,,,,,,,,,
,,47.45776,A6_34,0.018,,,,,,,,,,,,,,,,,,,,
,,47.4796,A2_14,0.016,,,,,,,,,,,,,,,,,,,,
,,47.50632,B6_34,0.017,,,,,,,,,,,,,,,,,,,,
,,47.53,D6_33,0.019,,,,,,,,,,,,,,,,,,,,
,,47.59128,B5_22,0.018,,,,,,,,,,,,,,,,,,,,
,,47.63048,B5_23,0.016,,,,,,,,,,,,,,,,,,,,
,,47.69256,B5_22,0.019,,,,,,,,,,,,,,,,,,,,
,,47.71904,C5_33,0.02,,,,,,,,,,,,,,,,,,,,
,,47.90696,B5_22,0.018,,,,,,,,,,,,,,,,,,,,
,,47.91984,A4_23,0.035,,,,,,,,,,,,,,,,,,,,
,,48.02912,C4_33,0.023,,,,,,,,,,,,,,,,,,,,
,,48.0344,D6_32,0.015,,,,,,,,,,,,,,,,,,,,
,,48.2568,C3_34,0.012,,,,,,,,,,,,,,,,,,,,
,,48.30488,A1_44,0.014,,,,,,,,,,,,,,,,,,,,
,,48.30888,A4_23,0.022,,,,,,,,,,,,,,,,,,,,
,,48.3608,A4_23,0.022,,,,,,,,,,,,,,,,,,,,
,,48.38576,B3_12,0.022,,,,,,,,,,,,,,,,,,,,
,,48.5828,B3_11,0.014,,,,,,,,,,,,,,,,,,,,
,,48.6736,A4_23,0.035,,,,,,,,,,,,,,,,,,,,
,,48.71952,D2_33,0.024,,,,,,,,,,,,,,,,,,,,
,,48.73928,A1_44,0.016,,,,,,,,,,,,,,,,,,,,
,,48.77024,B6_43,0.015,,,,,,,,,,,,,,,,,,,,
,,48.79664,B3_22,0.015,,,,,,,,,,,,,,,,,,,,
,,48.82664,C5_33,0.015,,,,,,,,,,,,,,,,,,,,
,,48.89464,C5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,48.89728,C5_22,0.015,,,,,,,,,,,,,,,,,,,,
,,48.97536,C4_33,0.026,,,,,,,,,,,,,,,,,,,,
,,49.00936,B5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,49.05256,B3_12,0.025,,,,,,,,,,,,,,,,,,,,
,,49.06256,C6_44,0.015,,,,,,,,,,,,,,,,,,,,
,,49.1548,C3_34,0.014,,,,,,,,,,,,,,,,,,,,
,,49.1664,C4_24,0.014,,,,,,,,,,,,,,,,,,,,
,,49.30792,B5_22,0.018,,,,,,,,,,,,,,,,,,,,
,,49.33792,A4_23,0.032,,,,,,,,,,,,,,,,,,,,
,,49.3708,D2_33,0.025,,,,,,,,,,,,,,,,,,,,
,,49.542,D5_44,0.014,,,,,,,,,,,,,,,,,,,,
,,49.54592,D4_23,0.013,,,,,,,,,,,,,,,,,,,,
,,49.72976,A4_43,0.015,,,,,,,,,,,,,,,,,,,,
,,49.8184,B5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,49.85856,A1_44,0.015,,,,,,,,,,,,,,,,,,,,
,,49.9584,B3_12,0.023,,,,,,,,,,,,,,,,,,,,
,,50.03816,C5_33,0.016,,,,,,,,,,,,,,,,,,,,
,,50.05888,D6_32,0.015,,,,,,,,,,,,,,,,,,,,
,,50.11248,C5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,50.3272,A2_14,0.015,,,,,,,,,,,,,,,,,,,,
,,50.45752,B3_12,0.026,,,,,,,,,,,,,,,,,,,,
,,50.60112,A1_42,0.014,,,,,,,,,,,,,,,,,,,,
,,50.6024,A2_14,0.018,,,,,,,,,,,,,,,,,,,,
,,50.68688,D2_33,0.021,,,,,,,,,,,,,,,,,,,,
,,50.80224,C3_33,0.014,,,,,,,,,,,,,,,,,,,,
,,50.91288,A4_43,0.016,,,,,,,,,,,,,,,,,,,,
,,51.0344,D3_24,0.013,,,,,,,,,,,,,,,,,,,,
,,51.036,C3_34,0.016,,,,,,,,,,,,,,,,,,,,
,,51.17928,B6_43,0.015,,,,,,,,,,,,,,,,,,,,
,,51.20592,C1_43,0.017,,,,,,,,,,,,,,,,,,,,
,,51.22624,A4_23,0.032,,,,,,,,,,,,,,,,,,,,
,,51.33312,B3_12,0.023,,,,,,,,,,,,,,,,,,,,
,,51.39176,C1_43,0.014,,,,,,,,,,,,,,,,,,,,
,,51.39184,D2_34,0.017,,,,,,,,,,,,,,,,,,,,
,,51.49512,B5_31,0.016,,,,,,,,,,,,,,,,,,,,
,,51.55424,C3_34,0.014,,,,,,,,,,,,,,,,,,,,
,,51.6952,B6_23,0.037,,,,,,,,,,,,,,,,,,,,
,,51.9484,B3_31,0.016,,,,,,,,,,,,,,,,,,,,
,,51.9524,A1_44,0.016,,,,,,,,,,,,,,,,,,,,
,,51.95312,C5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,51.95976,B4_24,0.021,,,,,,,,,,,,,,,,,,,,
,,51.97816,B6_23,0.027,,,,,,,,,,,,,,,,,,,,
,,52.07128,D5_34,0.011,,,,,,,,,,,,,,,,,,,,
,,52.07664,B6_42,0.017,,,,,,,,,,,,,,,,,,,,
,,52.08488,B4_24,0.019,,,,,,,,,,,,,,,,,,,,
,,52.14632,A4_43,0.016,,,,,,,,,,,,,,,,,,,,
,,52.18368,B4_24,0.017,,,,,,,,,,,,,,,,,,,,
,,52.21248,A4_23,0.032,,,,,,,,,,,,,,,,,,,,
,,52.29552,B4_24,0.014,,,,,,,,,,,,,,,,,,,,
,,52.4328,A4_43,0.017,,,,,,,,,,,,,,,,,,,,
,,52.45616,B4_24,0.014,,,,,,,,,,,,,,,,,,,,
,,52.50352,D3_24,0.014,,,,,,,,,,,,,,,,,,,,
,,52.5488,C4_33,0.02,,,,,,,,,,,,,,,,,,,,
,,52.60488,C5_34,0.016,,,,,,,,,,,,,,,,,,,,
,,52.62584,B5_22,0.014,,,,,,,,,,,,,,,,,,,,
,,52.66744,C4_33,0.025,,,,,,,,,,,,,,,,,,,,
,,52.70872,B4_24,0.017,,,,,,,,,,,,,,,,,,,,
,,52.7476,C4_33,0.021,,,,,,,,,,,,,,,,,,,,
,,52.77288,B6_43,0.018,,,,,,,,,,,,,,,,,,,,
,,52.77424,A4_23,0.034,,,,,,,,,,,,,,,,,,,,
,,52.78304,B6_42,0.019,,,,,,,,,,,,,,,,,,,,
,,52.8184,B5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,52.91504,C4_33,0.021,,,,,,,,,,,,,,,,,,,,
,,52.93736,C3_34,0.012,,,,,,,,,,,,,,,,,,,,
,,52.96664,C5_33,0.017,,,,,,,,,,,,,,,,,,,,
,,52.97088,B5_23,0.015,,,,,,,,,,,,,,,,,,,,
,,52.97576,C5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,52.97816,B6_23,0.037,,,,,,,,,,,,,,,,,,,,
