Investigator,Ghislaine,Time (s),Electrode,Amplitude(mV)
,,00008.724080,A5_44,0.023
,,00008.726640,C4_14,0.078
,,00008.741520,D3_43,0.05
,,00008.749920,B5_32,0.032
,,00008.770000,A5_31,0.019
,,00008.771040,A2_11,0.021
,,00008.784240,A3_32,0.024
,,00008.785760,B3_42,0.022
,,00008.789360,B4_43,0.022
,,00008.820080,D1_22,0.033
,,00008.838800,B5_32,0.027
,,00008.845920,D1_23,0.024
,,00008.849440,C4_13,0.025
,,00008.855600,C4_22,0.023
,,00008.876080,D1_34,0.016
,,00008.888160,C6_43,0.027
,,00008.891360,C1_44,0.086
,,00008.895440,B3_44,0.026
,,00008.916320,C1_44,0.035
,,00008.924240,C4_14,0.046
,,00008.926480,D1_13,0.02
,,00008.958080,A1_21,0.038
,,00008.974960,C4_12,0.049
,,00009.000800,C6_42,0.016
,,00009.011600,C6_22,0.021
,,00009.068640,A3_12,0.024
,,00009.075440,A4_32,0.021
,,00009.088320,B6_13,0.037
,,00009.125520,D2_32,0.026
,,00009.127360,D1_24,0.014
,,00009.128160,B5_33,0.022
,,00009.136160,A4_32,0.018
,,00009.147920,A3_31,0.032
,,00009.156800,C6_21,0.017
,,00009.156880,D1_33,0.037
,,00009.160000,B1_31,0.034
,,00009.180880,D4_32,0.037
,,00009.183040,C4_12,0.062
,,00009.196160,C6_32,0.021
,,00009.196480,C6_22,0.033
,,00009.210000,A4_32,0.018
,,00009.213760,D4_33,0.018
,,00009.217360,B1_31,0.021
,,00009.218080,D1_24,0.016
,,00009.224960,C6_22,0.031
,,00009.236240,D4_32,0.037
,,00009.243440,C1_24,0.012
,,00009.265680,D3_12,0.032
,,00009.270880,A4_32,0.018
,,00009.275520,A5_44,0.023
,,00009.284720,C6_31,0.022
,,00009.285760,A4_32,0.028
,,00009.293920,D1_33,0.033
,,00009.313440,D1_33,0.096
,,00009.340160,B5_32,0.031
,,00009.352000,C6_22,0.016
,,00009.357680,A3_22,0.026
,,00009.367440,D3_43,0.024
,,00009.392320,D1_33,0.033
,,00009.395760,B5_22,0.027
,,00009.439280,C6_43,0.037
,,00009.441440,D6_43,0.022
,,00009.449760,D1_33,0.037
