Investigator,Ghislaine,Time (s),Electrode,Amplitude(mV),,,,,,,,,,,,,,,,,,,,
,,22.96952,C4_24,0.017,,,,,,,,,,,,,,,,,,,,
,,23.28216,B1_24,0.021,,,,,,,,,,,,,,,,,,,,
,,23.28664,A5_23,0.014,,,,,,,,,,,,,,,,,,,,
,,23.3348,B1_43,0.011,,,,,,,,,,,,,,,,,,,,
,,23.42536,B3_34,0.014,,,,,,,,,,,,,,,,,,,,
,,23.54456,B1_43,0.012,,,,,,,,,,,,,,,,,,,,
,,23.67408,A5_23,0.023,,,,,,,,,,,,,,,,,,,,
,,23.68112,D6_33,0.018,,,,,,,,,,,,,,,,,,,,
,,23.76032,A5_12,0.016,,,,,,,,,,,,,,,,,,,,
,,23.97912,B3_34,0.013,,,,,,,,,,,,,,,,,,,,
,,24.13088,C3_11,0.013,,,,,,,,,,,,,,,,,,,,
,,24.32408,B3_11,0.021,,,,,,,,,,,,,,,,,,,,
,,24.34704,B3_32,0.015,,,,,,,,,,,,,,,,,,,,
,,24.39512,B1_43,0.013,,,,,,,,,,,,,,,,,,,,
,,24.41448,C4_12,0.013,,,,,,,,,,,,,,,,,,,,
,,24.52224,B2_13,0.022,,,,,,,,,,,,,,,,,,,,
,,24.66872,A4_12,0.021,,,,,,,,,,,,,,,,,,,,
,,25.08112,C4_24,0.015,,,,,,,,,,,,,,,,,,,,
,,25.10424,A5_23,0.022,,,,,,,,,,,,,,,,,,,,
,,25.14424,A5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,25.25752,C4_13,0.011,,,,,,,,,,,,,,,,,,,,
,,25.31616,A4_11,0.014,,,,,,,,,,,,,,,,,,,,
,,25.3384,A5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,25.34312,A5_11,0.019,,,,,,,,,,,,,,,,,,,,
,,25.36,A5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,25.37352,B1_43,0.013,,,,,,,,,,,,,,,,,,,,
,,25.43312,A5_23,0.023,,,,,,,,,,,,,,,,,,,,
,,25.49064,A5_11,0.013,,,,,,,,,,,,,,,,,,,,
,,25.63992,B1_31,0.014,,,,,,,,,,,,,,,,,,,,
,,25.66008,B1_14,0.026,,,,,,,,,,,,,,,,,,,,
,,25.76792,A4_23,0.013,,,,,,,,,,,,,,,,,,,,
,,25.88152,A5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,25.96096,D6_33,0.017,,,,,,,,,,,,,,,,,,,,
,,26.03168,D6_11,0.016,,,,,,,,,,,,,,,,,,,,
,,26.07168,B1_14,0.02,,,,,,,,,,,,,,,,,,,,
,,26.1324,A5_11,0.015,,,,,,,,,,,,,,,,,,,,
,,26.15856,A5_13,0.011,,,,,,,,,,,,,,,,,,,,
,,26.32432,A4_23,0.02,,,,,,,,,,,,,,,,,,,,
,,26.32736,B3_21,0.012,,,,,,,,,,,,,,,,,,,,
,,26.3384,B1_14,0.019,,,,,,,,,,,,,,,,,,,,
,,26.38624,D3_22,0.013,,,,,,,,,,,,,,,,,,,,
,,26.40184,A4_12,0.025,,,,,,,,,,,,,,,,,,,,
,,26.4636,A4_23,0.021,,,,,,,,,,,,,,,,,,,,
,,26.46848,A5_13,0.013,,,,,,,,,,,,,,,,,,,,
,,26.52192,A4_23,0.02,,,,,,,,,,,,,,,,,,,,
,,26.55592,D6_33,0.016,,,,,,,,,,,,,,,,,,,,
,,26.60848,A5_23,0.022,,,,,,,,,,,,,,,,,,,,
,,26.6332,C3_11,0.012,,,,,,,,,,,,,,,,,,,,
,,26.64464,A5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,26.93528,B1_14,0.021,,,,,,,,,,,,,,,,,,,,
,,27.01416,B3_11,0.019,,,,,,,,,,,,,,,,,,,,
,,27.10608,B1_43,0.012,,,,,,,,,,,,,,,,,,,,
,,27.1788,B3_14,0.022,,,,,,,,,,,,,,,,,,,,
,,27.18344,C4_23,0.015,,,,,,,,,,,,,,,,,,,,
,,27.19776,B3_32,0.017,,,,,,,,,,,,,,,,,,,,
,,27.2456,A5_24,0.012,,,,,,,,,,,,,,,,,,,,
,,27.2492,A4_21,0.019,,,,,,,,,,,,,,,,,,,,
,,27.39184,B3_21,0.014,,,,,,,,,,,,,,,,,,,,
,,27.53816,B1_43,0.01,,,,,,,,,,,,,,,,,,,,
,,27.73448,B1_24,0.02,,,,,,,,,,,,,,,,,,,,
,,27.99328,A5_13,0.012,,,,,,,,,,,,,,,,,,,,
,,28.11264,B1_31,0.012,,,,,,,,,,,,,,,,,,,,
,,28.3124,A5_22,0.013,,,,,,,,,,,,,,,,,,,,
,,28.35648,B3_32,0.016,,,,,,,,,,,,,,,,,,,,
,,28.36736,A4_12,0.024,,,,,,,,,,,,,,,,,,,,
,,28.36928,B1_14,0.02,,,,,,,,,,,,,,,,,,,,
,,28.40632,C4_13,0.012,,,,,,,,,,,,,,,,,,,,
,,28.5412,A5_13,0.011,,,,,,,,,,,,,,,,,,,,
,,28.60824,B3_11,0.019,,,,,,,,,,,,,,,,,,,,
,,28.60936,B3_32,0.016,,,,,,,,,,,,,,,,,,,,
,,28.62824,B1_31,0.013,,,,,,,,,,,,,,,,,,,,
,,28.78632,B1_14,0.019,,,,,,,,,,,,,,,,,,,,
,,28.884,B3_11,0.012,,,,,,,,,,,,,,,,,,,,
,,28.89768,B1_43,0.012,,,,,,,,,,,,,,,,,,,,
,,29.16584,B3_32,0.015,,,,,,,,,,,,,,,,,,,,
,,29.49856,A4_23,0.021,,,,,,,,,,,,,,,,,,,,
,,29.572,A4_23,0.018,,,,,,,,,,,,,,,,,,,,
,,29.58952,B1_44,0.012,,,,,,,,,,,,,,,,,,,,
,,29.6328,D3_22,0.016,,,,,,,,,,,,,,,,,,,,
,,29.67048,D6_33,0.016,,,,,,,,,,,,,,,,,,,,
,,29.73384,A5_11,0.013,,,,,,,,,,,,,,,,,,,,
,,29.84824,B1_14,0.016,,,,,,,,,,,,,,,,,,,,
,,29.87384,D6_11,0.016,,,,,,,,,,,,,,,,,,,,
,,29.93448,B3_32,0.017,,,,,,,,,,,,,,,,,,,,
,,30.08624,A5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,30.25432,A4_13,0.019,,,,,,,,,,,,,,,,,,,,
,,30.28568,D1_21,0.018,,,,,,,,,,,,,,,,,,,,
,,30.39072,B3_41,0.011,,,,,,,,,,,,,,,,,,,,
,,30.39952,A4_13,0.013,,,,,,,,,,,,,,,,,,,,
,,30.45888,D6_32,0.014,,,,,,,,,,,,,,,,,,,,
,,30.49984,C4_24,0.016,,,,,,,,,,,,,,,,,,,,
