Investigator,Ghislaine,Time (s),Electrode,Amplitude(mV)
,,1.36024,C4_21,0.037
,,1.3656,C1_11,0.026
,,1.36656,C4_33,0.032
,,1.36808,C2_42,0.031
,,1.37128,C1_22,0.042
,,1.37136,C2_43,0.039
,,1.37232,C3_33,0.025
,,1.37608,C3_33,0.039
,,1.37648,C2_31,0.043
,,1.38064,C3_42,0.072
,,1.38208,C2_22,0.03
,,1.38208,C3_32,0.051
,,1.38264,C3_33,0.046
,,1.38856,C4_34,0.031
,,1.3932,C2_32,0.032
,,1.39528,C1_43,0.02
,,1.39528,C5_33,0.021
,,1.3992,C3_33,0.042
,,1.40064,C2_32,0.03
,,1.40144,C1_11,0.031
,,1.40272,C2_23,0.02
,,1.4048,C3_33,0.037
,,1.406,C2_31,0.041
,,1.41256,C1_11,0.046
,,1.41512,C2_23,0.022
,,1.41648,C1_22,0.052
,,1.41664,C2_22,0.036
,,1.41744,C2_31,0.041
,,1.42568,C2_31,0.068
,,1.42728,C1_11,0.021
,,1.43064,C3_42,0.046
,,1.43088,C1_41,0.021
,,1.43256,C5_33,0.019
,,1.43544,C2_33,0.066
,,1.43664,C2_32,0.049
,,1.44568,C3_33,0.046
,,1.4488,C2_22,0.035
,,1.44952,C2_33,0.031
,,1.44984,C4_34,0.036
,,1.45296,C1_41,0.022
,,1.46016,C3_33,0.048
,,1.46272,C3_32,0.113
,,1.4636,C2_33,0.041
,,1.46744,C5_33,0.023
,,1.47304,C1_43,0.041
,,1.4752,C1_21,0.052
,,1.4768,C4_12,0.024
,,1.48112,C3_32,0.064
,,1.48184,C4_23,0.023
,,1.48584,C3_33,0.039
,,1.48656,C1_41,0.018
,,1.48936,C1_41,0.019
,,1.49256,C3_42,0.041
,,1.49264,C2_32,0.032
,,1.49344,C4_33,0.037
,,1.49584,C4_12,0.017
,,1.50024,C2_33,0.035
,,1.50136,C2_22,0.033
,,1.50256,C2_31,0.034
,,1.50344,C3_33,0.035
,,1.50808,C3_33,0.044
,,1.5108,C3_31,0.026
,,1.51784,C3_32,0.035
,,1.52024,C3_33,0.039
,,1.52248,C3_31,0.023
,,1.52368,C1_42,0.035
,,1.52472,C1_41,0.017
,,1.52656,C2_23,0.031
,,1.53376,C1_41,0.041
,,1.53384,C3_33,0.049
,,1.53936,C1_43,0.037
,,1.54176,C1_31,0.036
,,1.54424,C1_31,0.035
,,1.54536,C1_21,0.059
,,1.5464,C4_33,0.088
,,1.55008,C3_44,0.016
,,1.55232,C3_33,0.044
,,1.55456,C6_42,0.024
,,1.55624,C2_33,0.049
,,1.55736,C1_41,0.028
,,1.55784,C1_21,0.036
,,1.5588,C2_31,0.023
,,1.56616,C3_43,0.033
,,1.56656,C4_42,0.02
,,1.57592,C5_23,0.027
,,1.57904,C1_11,0.063
,,1.58072,C3_42,0.075
,,1.58112,C2_33,0.027
,,1.58224,C3_32,0.053
,,1.58664,C2_32,0.037
,,1.6008,C1_31,0.03
,,1.60408,C1_22,0.038
,,1.60472,C1_41,0.027
,,1.60592,C4_23,0.026
,,1.6176,C1_43,0.022
,,1.6204,C3_42,0.03
,,1.626,C5_34,0.059
,,1.6304,C2_23,0.033
,,1.63464,C2_32,0.033
,,1.63856,C2_31,0.043
,,1.64856,C2_23,0.03
,,1.64864,C2_31,0.033
,,1.64992,C1_42,0.066
,,1.65104,C4_33,0.028
,,1.66064,C2_32,0.03
,,1.66112,C3_43,0.046
,,1.66976,C4_33,0.028
,,1.67312,C1_31,0.026
,,1.67376,C1_21,0.027
,,1.67536,C1_41,0.028
,,1.6768,C1_11,0.026
,,1.68096,C1_22,0.028
,,1.68152,C2_33,0.034
,,1.68192,C1_31,0.028
,,1.68392,C1_22,0.037
,,1.6856,C1_11,0.021
,,1.69016,C2_33,0.032
,,1.7012,C3_41,0.018
,,1.70464,C3_32,0.117
,,1.70528,C3_33,0.038
,,1.70792,C2_33,0.033
,,1.70952,C5_33,0.02
,,1.71168,C1_11,0.038
,,1.71576,C2_42,0.044
,,1.71656,C2_33,0.048
,,1.718,C2_42,0.026
,,1.71944,C2_33,0.127
,,1.72512,C4_12,0.018
,,1.72592,C2_43,0.038
,,1.728,C5_42,0.029
,,1.72816,C2_22,0.036
,,1.72832,C1_22,0.045
,,1.73048,C3_33,0.048
,,1.73232,C1_22,0.065
,,1.73248,C5_33,0.019
,,1.734,C3_42,0.034
,,1.73536,C4_12,0.014
,,1.74,C1_42,0.045
,,1.7416,C1_11,0.036
,,1.74512,C1_43,0.021
,,1.75072,C1_21,0.052
,,1.75168,C2_31,0.052
,,1.75184,C3_31,0.026
,,1.75216,C6_42,0.022
,,1.75464,C4_33,0.077
,,1.756,C2_33,0.033
,,1.76392,C1_11,0.053
,,1.76568,C2_31,0.043
,,1.76648,C1_22,0.031
,,1.7716,C4_24,0.037
,,1.7724,C2_22,0.045
,,1.77448,C1_41,0.018
,,1.77568,C1_31,0.023
,,1.77592,C2_23,0.032
,,1.78184,C1_21,0.037
,,1.78744,C2_22,0.03
,,1.79312,C2_23,0.023
,,1.79568,C1_22,0.032
,,1.80008,C1_11,0.034
,,1.80408,C4_33,0.036
,,1.80504,C2_22,0.029
,,1.80536,C2_23,0.022
,,1.80984,C1_31,0.043
,,1.81664,C3_42,0.033
,,1.81912,C2_32,0.026
,,1.82656,C6_21,0.05
,,1.8268,C3_33,0.053
,,1.83496,C1_22,0.041
,,1.83984,C1_22,0.033
,,1.84464,C2_33,0.073
,,1.84648,C3_33,0.044
,,1.86112,C2_22,0.03
,,1.86816,C2_31,0.048
,,1.86872,C6_21,0.015
,,1.87256,C4_33,0.032
,,1.87472,C5_33,0.023
,,1.88256,C1_41,0.022
,,1.88296,C3_33,0.041
,,1.88432,C3_42,0.031
,,1.88512,C1_42,0.21
,,1.8852,C1_11,0.021
,,1.8884,C1_42,0.056
,,1.88968,C3_33,0.041
