Investigator,Ghislaine,Time (s),Electrode,Amplitude(mV)
,,14.81824,C5_42,0.032
,,14.82616,C1_33,0.018
,,14.89504,C5_42,0.07
,,14.956,C1_43,0.022
,,14.96192,C2_23,0.021
,,14.96896,C6_22,0.034
,,14.97696,C2_34,0.014
,,14.99224,C1_33,0.022
,,15.00896,C1_43,0.018
,,15.01888,C5_32,0.056
,,15.0792,C3_33,0.035
,,15.08048,C6_22,0.025
,,15.1424,C5_43,0.023
,,15.15992,C5_32,0.04
,,15.17728,C1_33,0.026
,,15.22192,C5_43,0.025
,,15.2796,C3_13,0.028
,,15.2864,C1_43,0.019
,,15.29848,C6_22,0.02
,,15.35568,C5_32,0.048
,,15.35928,C6_22,0.021
,,15.36048,C1_22,0.018
,,15.37,C1_43,0.017
,,15.416,C1_43,0.017
,,15.43896,C5_42,0.032
,,15.47904,C5_42,0.04
,,15.48224,C2_23,0.036
,,15.556,C3_33,0.036
,,15.55904,C5_32,0.04
,,15.5984,C5_43,0.026
,,15.5988,C5_42,0.03
,,15.60352,C2_23,0.022
,,15.6184,C5_42,0.034
,,15.65664,C5_43,0.036
,,15.70136,C5_42,0.044
,,15.7212,C5_32,0.039
,,15.73336,C5_43,0.027
,,15.73688,C6_22,0.019
,,15.73952,C5_42,0.066
,,15.77088,C5_42,0.03
,,15.804,C6_22,0.027
,,15.80656,C5_32,0.046
,,15.87232,C5_32,0.056
,,15.89944,C1_43,0.02
,,15.92936,C1_43,0.024
,,15.93008,C5_42,0.034
,,15.95344,C1_43,0.017
,,15.9576,C1_22,0.019
,,15.97168,C2_23,0.03
,,16.00088,C3_33,0.037
,,16.03368,C2_23,0.024
,,16.03448,C5_43,0.024
,,16.04632,C5_43,0.064
,,16.04848,C5_32,0.048
,,16.07712,C1_43,0.027
,,16.0868,C5_43,0.028
,,16.0984,C1_43,0.081
,,16.13584,C5_43,0.027
,,16.20432,C5_42,0.037
,,16.21496,C1_43,0.017
,,16.2156,C6_22,0.028
,,16.218,C2_41,0.012
,,16.26768,C2_33,0.025
,,16.2888,C5_32,0.045
,,16.30112,C1_43,0.02
,,16.30896,C1_11,0.027
,,16.31,C5_42,0.039
,,16.31568,C3_23,0.008
,,16.33024,C1_43,0.017
,,16.41848,C2_23,0.024
,,16.4284,C3_33,0.042
,,16.42968,C1_43,0.018
,,16.47104,C1_11,0.011
,,16.4744,C5_42,0.032
,,16.51384,C1_43,0.018
,,16.53704,C2_23,0.022
,,16.53856,C1_23,0.029
,,16.56456,C1_22,0.026
,,16.57296,C1_43,0.024
,,16.582,C5_32,0.04
,,16.5864,C6_22,0.021
,,16.5888,C5_43,0.023
,,16.59704,C5_42,0.025
,,16.6176,C5_43,0.024
,,16.6428,C5_42,0.035
,,16.67736,C1_43,0.014
,,16.69072,C1_22,0.024
,,16.70024,C1_43,0.025
,,16.73024,C1_33,0.017
,,16.75656,C5_42,0.032
,,16.77264,C3_13,0.037
,,16.79488,C5_32,0.044
,,16.80136,C1_43,0.024
,,16.80488,C5_42,0.044
,,16.84128,C1_43,0.02
,,16.85248,C1_43,0.029
,,16.86664,C1_34,0.017
,,16.89184,C1_34,0.019
,,16.90584,C2_23,0.028
,,16.91648,C1_22,0.021
,,16.91784,C1_43,0.02
,,16.93568,C1_43,0.017
,,16.94792,C1_43,0.021
,,16.97632,C3_33,0.04
,,16.99336,C1_42,0.016
,,17.00872,C5_42,0.033
,,17.04232,C1_43,0.018
,,17.08232,C5_32,0.04
,,17.08472,C1_43,0.021
,,17.1036,C1_43,0.021
,,17.10744,C1_43,0.024
,,17.11872,C6_22,0.023
,,17.12312,C2_23,0.023
,,17.12712,C1_43,0.033
,,17.16136,C5_43,0.03
,,17.20544,C1_43,0.021
,,17.20888,C5_43,0.023
,,17.21704,C2_23,0.019
,,17.23256,C1_43,0.019
,,17.2536,C5_42,0.037
,,17.262,C3_33,0.039
,,17.29504,C5_43,0.059
,,17.31528,C1_33,0.016
,,17.392,C1_43,0.016
,,17.39304,C5_32,0.029
,,17.42456,C1_43,0.02
,,17.4504,C5_32,0.037
,,17.51072,C5_32,0.052
,,17.51592,C3_33,0.036
,,17.59856,C5_32,0.044
,,17.63664,C2_33,0.021
,,17.65032,C5_42,0.035
,,17.6648,C1_43,0.02
,,17.6656,C2_23,0.03
,,17.672,C5_43,0.028
,,17.71064,C3_42,0.018
,,17.74136,C1_43,0.023
,,17.75032,C6_22,0.022
,,17.79976,C5_42,0.038
,,17.8072,C2_33,0.027
,,17.83848,C5_32,0.035
,,17.8664,C5_32,0.044
,,17.88976,C3_33,0.033
,,17.9156,C5_42,0.059
,,17.96896,C5_42,0.036
,,18.01056,C6_22,0.024
,,18.03704,C2_23,0.032
,,18.03776,C1_43,0.018
,,18.10888,C6_22,0.019
,,18.12328,C3_13,0.023
,,18.14928,C5_42,0.04
,,18.16336,C2_23,0.031
,,18.17248,C5_32,0.046
,,18.19736,C5_42,0.03
,,18.20048,C1_44,0.01
,,18.21256,C1_43,0.022
,,18.21864,C3_13,0.022
,,18.24688,C3_33,0.041
,,18.25224,C1_43,0.018
,,18.25368,C5_42,0.037
,,18.25496,C1_43,0.022
,,18.26664,C2_23,0.022
,,18.302,C5_32,0.052
,,18.322,C5_43,0.026
,,18.33616,C5_42,0.034
,,18.3832,C1_22,0.026
,,18.40512,C5_32,0.037
