Investigator,ghislaine,Time (s),Electrode,Amplitude(mV),,,,,,,,,,,,,,,,,,,,
,,17.36448,A1_31,0.018,,,,,,,,,,,,,,,,,,,,
,,17.50224,C1_24,0.021,,,,,,,,,,,,,,,,,,,,
,,17.56064,B2_32,0.018,,,,,,,,,,,,,,,,,,,,
,,17.64704,C2_33,0.019,,,,,,,,,,,,,,,,,,,,
,,17.84496,A1_31,0.018,,,,,,,,,,,,,,,,,,,,
,,17.86176,A1_31,0.015,,,,,,,,,,,,,,,,,,,,
,,17.93232,A1_31,0.015,,,,,,,,,,,,,,,,,,,,
,,18.01376,C2_33,0.016,,,,,,,,,,,,,,,,,,,,
,,18.06328,A1_31,0.014,,,,,,,,,,,,,,,,,,,,
,,18.10216,A6_21,0.018,,,,,,,,,,,,,,,,,,,,
,,18.12736,B6_23,0.023,,,,,,,,,,,,,,,,,,,,
,,18.15848,A5_12,0.017,,,,,,,,,,,,,,,,,,,,
,,18.21672,A1_31,0.021,,,,,,,,,,,,,,,,,,,,
,,18.23144,C2_33,0.014,,,,,,,,,,,,,,,,,,,,
,,18.26504,C1_24,0.015,,,,,,,,,,,,,,,,,,,,
,,18.38976,C2_33,0.02,,,,,,,,,,,,,,,,,,,,
,,18.39896,B6_11,0.021,,,,,,,,,,,,,,,,,,,,
,,18.46912,B1_21,0.011,,,,,,,,,,,,,,,,,,,,
,,18.48416,A1_31,0.019,,,,,,,,,,,,,,,,,,,,
,,18.79504,C2_33,0.019,,,,,,,,,,,,,,,,,,,,
,,18.81632,A1_31,0.018,,,,,,,,,,,,,,,,,,,,
,,18.8212,B6_23,0.019,,,,,,,,,,,,,,,,,,,,
,,18.82872,B1_21,0.013,,,,,,,,,,,,,,,,,,,,
,,18.82888,C2_31,0.016,,,,,,,,,,,,,,,,,,,,
,,18.84696,A1_31,0.016,,,,,,,,,,,,,,,,,,,,
,,18.85208,C1_33,0.022,,,,,,,,,,,,,,,,,,,,
,,18.85552,C1_34,0.017,,,,,,,,,,,,,,,,,,,,
,,18.94824,A5_12,0.016,,,,,,,,,,,,,,,,,,,,
,,18.99808,C1_33,0.021,,,,,,,,,,,,,,,,,,,,
,,19.02816,A1_31,0.018,,,,,,,,,,,,,,,,,,,,
,,19.06992,B1_22,0.036,,,,,,,,,,,,,,,,,,,,
,,19.09256,C1_31,0.018,,,,,,,,,,,,,,,,,,,,
,,19.16368,A1_31,0.017,,,,,,,,,,,,,,,,,,,,
,,19.23304,C2_33,0.02,,,,,,,,,,,,,,,,,,,,
,,19.25536,A1_31,0.022,,,,,,,,,,,,,,,,,,,,
,,19.30832,B1_22,0.023,,,,,,,,,,,,,,,,,,,,
,,19.30896,B1_12,0.016,,,,,,,,,,,,,,,,,,,,
,,19.31296,B1_22,0.014,,,,,,,,,,,,,,,,,,,,
,,19.31376,B4_33,0.023,,,,,,,,,,,,,,,,,,,,
,,19.31944,B1_32,0.018,,,,,,,,,,,,,,,,,,,,
,,19.34472,B1_42,0.015,,,,,,,,,,,,,,,,,,,,
,,19.35136,B1_42,0.013,,,,,,,,,,,,,,,,,,,,
,,19.35216,B1_13,0.025,,,,,,,,,,,,,,,,,,,,
,,19.35592,B1_21,0.015,,,,,,,,,,,,,,,,,,,,
,,19.35696,B1_12,0.021,,,,,,,,,,,,,,,,,,,,
,,19.35704,B1_22,0.035,,,,,,,,,,,,,,,,,,,,
,,19.35848,B1_44,0.017,,,,,,,,,,,,,,,,,,,,
,,19.35936,B1_24,0.013,,,,,,,,,,,,,,,,,,,,
,,19.36048,B1_11,0.019,,,,,,,,,,,,,,,,,,,,
,,19.36088,B1_13,0.022,,,,,,,,,,,,,,,,,,,,
,,19.36104,B1_32,0.015,,,,,,,,,,,,,,,,,,,,
,,19.3636,B1_12,0.024,,,,,,,,,,,,,,,,,,,,
,,19.36376,B1_21,0.014,,,,,,,,,,,,,,,,,,,,
,,19.36392,B1_24,0.011,,,,,,,,,,,,,,,,,,,,
,,19.36496,B1_11,0.024,,,,,,,,,,,,,,,,,,,,
,,19.36504,B1_22,0.04,,,,,,,,,,,,,,,,,,,,
,,19.36568,B1_13,0.021,,,,,,,,,,,,,,,,,,,,
,,19.36696,B1_21,0.018,,,,,,,,,,,,,,,,,,,,
,,19.36752,B1_11,0.039,,,,,,,,,,,,,,,,,,,,
,,19.36864,B1_33,0.015,,,,,,,,,,,,,,,,,,,,
,,19.36872,B1_22,0.042,,,,,,,,,,,,,,,,,,,,
,,19.36944,B1_12,0.025,,,,,,,,,,,,,,,,,,,,
,,19.37,B1_11,0.023,,,,,,,,,,,,,,,,,,,,
,,19.37008,B1_21,0.023,,,,,,,,,,,,,,,,,,,,
,,19.3712,B1_13,0.028,,,,,,,,,,,,,,,,,,,,
,,19.37168,B1_22,0.042,,,,,,,,,,,,,,,,,,,,
,,19.37384,B1_13,0.019,,,,,,,,,,,,,,,,,,,,
,,19.37504,B1_22,0.016,,,,,,,,,,,,,,,,,,,,
,,19.37672,B1_21,0.019,,,,,,,,,,,,,,,,,,,,
,,19.37832,B1_43,0.011,,,,,,,,,,,,,,,,,,,,
,,19.3796,B1_13,0.027,,,,,,,,,,,,,,,,,,,,
,,19.37992,B1_23,0.029,,,,,,,,,,,,,,,,,,,,
,,19.38024,B1_22,0.022,,,,,,,,,,,,,,,,,,,,
,,19.38032,B1_32,0.027,,,,,,,,,,,,,,,,,,,,
,,19.38032,B1_12,0.048,,,,,,,,,,,,,,,,,,,,
,,19.3804,B1_42,0.02,,,,,,,,,,,,,,,,,,,,
,,19.38176,B1_11,0.03,,,,,,,,,,,,,,,,,,,,
,,19.38248,B1_21,0.021,,,,,,,,,,,,,,,,,,,,
,,19.38312,B1_13,0.031,,,,,,,,,,,,,,,,,,,,
,,19.38448,B1_12,0.026,,,,,,,,,,,,,,,,,,,,
,,19.38552,B1_14,0.018,,,,,,,,,,,,,,,,,,,,
,,19.38584,B1_11,0.021,,,,,,,,,,,,,,,,,,,,
,,19.3864,B1_13,0.027,,,,,,,,,,,,,,,,,,,,
,,19.38672,B1_31,0.02,,,,,,,,,,,,,,,,,,,,
,,19.38688,B1_43,0.018,,,,,,,,,,,,,,,,,,,,
,,19.38768,B1_12,0.023,,,,,,,,,,,,,,,,,,,,
,,19.38816,B1_11,0.019,,,,,,,,,,,,,,,,,,,,
